"Title","Mathematics attainment for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","Boys","","Girls",""
"Ethnicity","Expected standard","Higher standard","Expected standard","Higher standard"
"All","72","19","74","16"
"Asian","73","21","76","19"
"Bangladeshi","72","20","75","17"
"Indian","81","30","84","27"
"Pakistani","68","15","69","12"
"Asian other","76","26","80","23"
"Black","69","18","74","15"
"Black African","71","19","76","17"
"Black Caribbean","64","12","68","11"
"Black other","67","15","70","14"
"Chinese","88","43","89","36"
"Mixed","72","21","75","17"
"Mixed White/Asian","78","27","80","22"
"Mixed White/Black African","73","20","75","15"
"Mixed White/Black Caribbean","66","14","68","12"
"Mixed other","73","23","76","19"
"White","72","19","73","16"
"White British","72","19","74","16"
"White Irish","75","22","76","18"
"White Irish Traveller","32","2","35","2"
"White Gypsy/Roma","28","3","30","1"
"White other","71","19","72","15"
"Any other","70","18","70","15"
