"Title","Mathematics attainment for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","","","","","",""
"County Durham","75","82","67","!","76","75"
"Darlington","75","66","57","100","86","75"
"Gateshead","74","72","77","75","77","74"
"Hartlepool","71","71","56","!","56","72"
"Middlesbrough","65","65","78","!","64","65"
"Newcastle upon Tyne","73","74","72","91","80","73"
"North Tyneside","75","76","83","80","71","75"
"Northumberland","76","83","!","!","73","76"
"Redcar and Cleveland","75","53","!","!","70","76"
"South Tyneside","77","85","75","!","69","78"
"Stockton-on-Tees","76","77","69","!","74","76"
"Sunderland","76","74","84","!","71","76"
"Blackburn with Darwen","74","75","61","100","67","75"
"Blackpool","74","65","!","70","74","74"
"Bolton","72","75","63","!","71","73"
"Bury","71","69","65","100","71","72"
"Cheshire East","71","71","64","!","66","71"
"Cheshire West and Chester","70","74","46","100","78","69"
"Cumbria","67","81","100","!","66","66"
"Halton","64","100","!","!","70","64"
"Knowsley","67","86","60","100","70","66"
"Lancashire","72","70","79","88","70","73"
"Liverpool","62","70","61","76","64","62"
"Manchester","71","71","70","93","73","71"
"Oldham","64","61","52","67","66","69"
"Rochdale","70","68","59","!","73","71"
"Salford","73","71","69","!","74","75"
"Sefton","74","74","63","!","73","74"
"St. Helens","67","67","!","!","65","67"
"Stockport","73","74","68","75","77","73"
"Tameside","70","65","67","70","74","70"
"Trafford","77","78","78","90","71","78"
"Warrington","76","75","81","!","75","76"
"Wigan","73","70","66","!","81","74"
"Wirral","70","79","56","76","80","70"
"Barnsley","71","71","79","!","70","71"
"Bradford","70","72","61","!","70","69"
"Calderdale","65","53","50","!","67","68"
"Doncaster","70","67","58","84","70","71"
"East Riding of Yorkshire","74","85","!","100","76","74"
"Kingston upon Hull, City of","72","79","56","!","79","72"
"Kirklees","70","68","69","81","67","72"
"Leeds","64","64","58","79","59","66"
"North East Lincolnshire","72","!","!","100","80","72"
"North Lincolnshire","77","84","40","!","81","77"
"North Yorkshire","70","75","53","82","67","71"
"Rotherham","71","72","60","73","70","71"
"Sheffield","71","69","71","91","70","72"
"Wakefield","71","67","67","!","74","72"
"York","71","78","!","!","71","71"
"Derby","64","67","68","!","68","63"
"Derbyshire","73","80","67","82","71","73"
"Leicester","66","73","67","!","64","60"
"Leicestershire","72","78","68","83","72","71"
"Lincolnshire","71","89","75","!","80","71"
"Northamptonshire","70","76","67","!","70","70"
"Nottingham","68","73","70","!","67","67"
"Nottinghamshire","71","69","60","89","70","71"
"Rutland","78","!","!","!","69","79"
"Birmingham","67","68","67","92","66","67"
"Coventry","70","77","68","!","70","68"
"Dudley","72","71","74","!","75","72"
"Herefordshire, County of","74","60","!","!","83","74"
"Sandwell","68","73","65","!","71","66"
"Shropshire","69","80","!","100","74","69"
"Solihull","76","78","74","!","75","76"
"Staffordshire","75","76","67","!","75","75"
"Stoke-on-Trent","70","70","72","!","72","70"
"Telford and Wrekin","76","70","83","100","71","76"
"Walsall","71","73","74","!","69","71"
"Warwickshire","74","82","70","!","75","74"
"Wolverhampton","71","73","77","!","71","68"
"Worcestershire","70","58","56","78","70","71"
"Bedford","71","65","69","100","69","72"
"Cambridgeshire","71","70","61","91","72","71"
"Central Bedfordshire","76","83","73","100","68","76"
"Essex","74","82","74","92","75","74"
"Hertfordshire","77","79","75","93","78","77"
"Luton","69","70","67","58","74","70"
"Norfolk","74","83","64","!","74","74"
"Peterborough","69","67","72","!","68","70"
"Southend-on-Sea","74","78","66","100","71","74"
"Suffolk","71","72","66","100","71","71"
"Thurrock","75","79","80","!","73","74"
"Camden","74","72","68","76","75","78"
"City of London","!","!","!","!","!","!"
"Hackney","82","85","78","!","85","83"
"Hammersmith and Fulham","77","79","69","100","74","82"
"Haringey","78","85","74","!","83","80"
"Islington","73","71","65","!","79","77"
"Kensington and Chelsea","80","83","77","!","79","84"
"Lambeth","76","75","72","88","79","80"
"Lewisham","78","81","73","81","80","81"
"Newham","79","83","77","!","85","74"
"Southwark","76","82","75","90","70","79"
"Tower Hamlets","75","75","77","!","78","74"
"Wandsworth","80","82","71","88","73","85"
"Westminster","77","79","80","100","80","78"
"Barking and Dagenham","75","80","78","!","73","71"
"Barnet","74","80","68","84","72","77"
"Bexley","80","89","86","!","81","78"
"Brent","74","78","72","!","78","74"
"Bromley","79","87","81","!","78","79"
"Croydon","74","84","69","!","74","74"
"Ealing","72","74","62","100","78","76"
"Enfield","72","85","68","81","76","72"
"Greenwich","82","89","84","!","82","79"
"Harrow","77","85","67","!","76","71"
"Havering","77","86","74","!","76","77"
"Hillingdon","75","81","73","!","77","72"
"Hounslow","79","86","72","85","81","76"
"Kingston upon Thames","75","77","55","86","72","75"
"Merton","73","79","70","!","68","72"
"Redbridge","76","81","67","!","75","72"
"Richmond upon Thames","79","78","79","100","77","79"
"Sutton","76","87","68","!","81","73"
"Waltham Forest","80","82","77","84","81","80"
"Bracknell Forest","76","87","61","!","84","75"
"Brighton and Hove","74","69","67","!","74","74"
"Buckinghamshire","72","67","71","84","71","74"
"East Sussex","75","84","72","!","75","75"
"Hampshire","77","80","71","88","77","77"
"Isle of Wight","73","!","!","!","73","73"
"Kent","78","83","81","88","82","77"
"Medway","75","82","85","100","79","74"
"Milton Keynes","72","79","70","85","74","71"
"Oxfordshire","71","63","68","91","71","72"
"Portsmouth","71","72","69","100","71","71"
"Reading","74","73","72","100","72","75"
"Slough","76","81","72","!","74","71"
"Southampton","74","76","67","85","75","75"
"Surrey","76","80","76","91","78","76"
"West Berkshire","72","75","85","100","81","72"
"West Sussex","65","74","53","88","65","64"
"Windsor and Maidenhead","78","77","67","!","81","79"
"Wokingham","79","82","74","!","81","78"
"Bath and North East Somerset","73","79","60","100","74","73"
"Bournemouth","71","72","79","!","74","71"
"Bristol, City of","70","64","60","!","66","73"
"Cornwall","71","78","!","100","77","71"
"Devon","70","75","50","!","70","70"
"Dorset","68","63","70","!","73","68"
"Gloucestershire","69","77","65","!","70","69"
"Isles of Scilly","!","!","!","!","!","!"
"North Somerset","76","79","!","!","84","76"
"Plymouth","69","!","62","!","66","69"
"Poole","76","84","54","100","78","76"
"Somerset","73","70","36","67","74","73"
"South Gloucestershire","75","80","75","84","74","75"
"Swindon","70","77","68","!","71","69"
"Torbay","70","76","!","!","78","69"
"Wiltshire","71","84","69","84","74","71"
