"Title","Fear of crime by ethnicity "
"Location","England and Wales"
"Time period","2013/14 to 2015/16"
"Data source","Crime Survey for England and Wales https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Value","Unweighted base"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","19","34,684"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","19","32,702"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","19","34,566"
"Proportion of adults that fear crime","2013/14","Financial year","White","ONS 5+1","18"," 31,414 "
"Proportion of adults that fear crime","2013/14","Financial year","White British","ONS 18+1","18"," 29,565 "
"Proportion of adults that fear crime","2013/14","Financial year","White Irish","ONS 18+1","21"," 316 "
"Proportion of adults that fear crime","2013/14","Financial year","Gypsy or Irish Traveller","ONS 18+1","?"," 12 "
"Proportion of adults that fear crime","2013/14","Financial year","Any other white background","ONS 18+1","20"," 1,521 "
"Proportion of adults that fear crime","2013/14","Financial year","Mixed","ONS 5+1","29"," 329 "
"Proportion of adults that fear crime","2013/14","Financial year","Mixed white and black caribbean","ONS 18+1","25"," 119 "
"Proportion of adults that fear crime","2013/14","Financial year","Mixed white and black african","ONS 18+1","?"," 45 "
"Proportion of adults that fear crime","2013/14","Financial year","Mixed white and asian","ONS 18+1","33"," 77 "
"Proportion of adults that fear crime","2013/14","Financial year","Any other Mixed/Multiple ethnic background","ONS 18+1","25"," 88 "
"Proportion of adults that fear crime","2013/14","Financial year","Asian","ONS 5+1","31"," 1,766 "
"Proportion of adults that fear crime","2013/14","Financial year","Indian","ONS 18+1","33"," 744 "
"Proportion of adults that fear crime","2013/14","Financial year","Pakistani","ONS 18+1","35"," 388 "
"Proportion of adults that fear crime","2013/14","Financial year","Bangladeshi","ONS 18+1","34"," 132 "
"Proportion of adults that fear crime","2013/14","Financial year","Chinese","ONS 18+1","15"," 165 "
"Proportion of adults that fear crime","2013/14","Financial year","Any other asian","ONS 18+1","29"," 337 "
"Proportion of adults that fear crime","2013/14","Financial year","Black","ONS 5+1","27"," 918 "
"Proportion of adults that fear crime","2013/14","Financial year","Black african","ONS 18+1","23"," 542 "
"Proportion of adults that fear crime","2013/14","Financial year","Black caribbean","ONS 18+1","32"," 331 "
"Proportion of adults that fear crime","2013/14","Financial year","Any other black background","ONS 18+1","?"," 45 "
"Proportion of adults that fear crime","2013/14","Financial year","Other","ONS 5+1","25"," 229 "
"Proportion of adults that fear crime","2013/14","Financial year","Arab","ONS 18+1","21"," 86 "
"Proportion of adults that fear crime","2013/14","Financial year","Any other ethnic group","ONS 18+1","27"," 143 "
"Proportion of adults that fear crime","2014/15","Financial year","White","ONS 5+1","17"," 29,681 "
"Proportion of adults that fear crime","2014/15","Financial year","White British","ONS 18+1","17"," 27,990 "
"Proportion of adults that fear crime","2014/15","Financial year","White Irish","ONS 18+1","17"," 295 "
"Proportion of adults that fear crime","2014/15","Financial year","Gypsy or Irish Traveller","ONS 18+1","?"," 10 "
"Proportion of adults that fear crime","2014/15","Financial year","Any other white background","ONS 18+1","19"," 1,386 "
"Proportion of adults that fear crime","2014/15","Financial year","Mixed","ONS 5+1","20"," 303 "
"Proportion of adults that fear crime","2014/15","Financial year","Mixed white and black caribbean","ONS 18+1","21"," 97 "
"Proportion of adults that fear crime","2014/15","Financial year","Mixed white and black african","ONS 18+1","?"," 45 "
"Proportion of adults that fear crime","2014/15","Financial year","Mixed white and asian","ONS 18+1","18"," 88 "
"Proportion of adults that fear crime","2014/15","Financial year","Any other Mixed/Multiple ethnic background","ONS 18+1","27"," 73 "
"Proportion of adults that fear crime","2014/15","Financial year","Asian","ONS 5+1","28"," 1,578 "
"Proportion of adults that fear crime","2014/15","Financial year","Indian","ONS 18+1","29"," 642 "
"Proportion of adults that fear crime","2014/15","Financial year","Pakistani","ONS 18+1","27"," 375 "
"Proportion of adults that fear crime","2014/15","Financial year","Bangladeshi","ONS 18+1","29"," 119 "
"Proportion of adults that fear crime","2014/15","Financial year","Chinese","ONS 18+1","19"," 131 "
"Proportion of adults that fear crime","2014/15","Financial year","Any other asian","ONS 18+1","30"," 311 "
"Proportion of adults that fear crime","2014/15","Financial year","Black","ONS 5+1","24"," 875 "
"Proportion of adults that fear crime","2014/15","Financial year","Black african","ONS 18+1","22"," 509 "
"Proportion of adults that fear crime","2014/15","Financial year","Black caribbean","ONS 18+1","26"," 309 "
"Proportion of adults that fear crime","2014/15","Financial year","Any other black background","ONS 18+1","26"," 57 "
"Proportion of adults that fear crime","2014/15","Financial year","Other","ONS 5+1","26"," 223 "
"Proportion of adults that fear crime","2014/15","Financial year","Arab","ONS 18+1","25"," 79 "
"Proportion of adults that fear crime","2014/15","Financial year","Any other ethnic group","ONS 18+1","26"," 144 "
"Proportion of adults that fear crime","2015/16","Financial year","White","ONS 5+1","18","31,352"
"Proportion of adults that fear crime","2015/16","Financial year","White British","ONS 18+1","18","29,458"
"Proportion of adults that fear crime","2015/16","Financial year","White Irish","ONS 18+1","20","280"
"Proportion of adults that fear crime","2015/16","Financial year","Gypsy or Irish Traveller","ONS 18+1","?","15"
