"Title","Fear of crime by ethnicity and sex"
"Location","England and Wales"
"Time period","2013/14 to 2015/16"
"Data source","Crime Survey for England and Wales https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Gender","Value","Unweighted base"
"White","Male ","17.7"," 42,015 "
"White","Female","17.9"," 50,432 "
"Mixed","Male ","23.5","411"
"Mixed","Female","22.9","580"
"Asian","Male ","28.3"," 2,528 "
"Asian","Female","29.7"," 2,528 "
"Black","Male ","23.2"," 1,118 "
"Black","Female","27.5"," 1,529 "
"Other","Male ","25.5","360"
"Other","Female","26.8","327"
