"Title","Fear of crime by ethnicity and age"
"Location","England and Wales"
"Time period","2013/14 to 2015/16"
"Data source","[Crime Survey for England and Wales](https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Time","Ethnicity","Age Bracket","Value","Unweighted base"
"2013/14, 2014/15 and 2015/16","White","16-24","17.9"," 6,470 "
"2013/14, 2014/15 and 2015/16","White","25-34","19.6"," 12,492 "
"2013/14, 2014/15 and 2015/16","White","35-44","21.6"," 13,988 "
"2013/14, 2014/15 and 2015/16","White","45-54","19.5"," 15,879 "
"2013/14, 2014/15 and 2015/16","White","55-64","18.6"," 15,444 "
"2013/14, 2014/15 and 2015/16","White","65-74","14.6"," 15,539 "
"2013/14, 2014/15 and 2015/16","White","75+","9.0"," 12,635 "
"2013/14, 2014/15 and 2015/16","Mixed","16-24","23.0"," 207 "
"2013/14, 2014/15 and 2015/16","Mixed","25-34","20.2"," 250 "
"2013/14, 2014/15 and 2015/16","Mixed","35-44","25.2"," 221 "
"2013/14, 2014/15 and 2015/16","Mixed","45-54","26.2"," 156 "
"2013/14, 2014/15 and 2015/16","Mixed","55-64","28.7"," 70 "
"2013/14, 2014/15 and 2015/16","Mixed","65-74","21.1"," 61 "
"2013/14, 2014/15 and 2015/16","Mixed","75+","-"," 26 "
"2013/14, 2014/15 and 2015/16","Asian","16-24","24.0"," 563 "
"2013/14, 2014/15 and 2015/16","Asian","25-34","28.1"," 1,327 "
"2013/14, 2014/15 and 2015/16","Asian","35-44","30.6"," 1,414 "
"2013/14, 2014/15 and 2015/16","Asian","45-54","30.9"," 775 "
"2013/14, 2014/15 and 2015/16","Asian","55-64","34.6"," 513 "
"2013/14, 2014/15 and 2015/16","Asian","65-74","28.2"," 329 "
"2013/14, 2014/15 and 2015/16","Asian","75+","27.5"," 135 "
"2013/14, 2014/15 and 2015/16","Black","16-24","19.9"," 282 "
"2013/14, 2014/15 and 2015/16","Black","25-34","23.6"," 518 "
"2013/14, 2014/15 and 2015/16","Black","35-44","25.1"," 698 "
"2013/14, 2014/15 and 2015/16","Black","45-54","31.9"," 598 "
"2013/14, 2014/15 and 2015/16","Black","55-64","28.0"," 271 "
"2013/14, 2014/15 and 2015/16","Black","65-74","33.7"," 152 "
"2013/14, 2014/15 and 2015/16","Black","75+","14.1"," 128 "
"2013/14, 2014/15 and 2015/16","Other","16-24","20.3"," 85 "
"2013/14, 2014/15 and 2015/16","Other","25-34","25.4"," 172 "
"2013/14, 2014/15 and 2015/16","Other","35-44","30.6"," 189 "
"2013/14, 2014/15 and 2015/16","Other","45-54","30.1"," 109 "
"2013/14, 2014/15 and 2015/16","Other","55-64","23.8"," 63 "
"2013/14, 2014/15 and 2015/16","Other","65-74","-"," 41 "
"2013/14, 2014/15 and 2015/16","Other","75+","-"," 28 "
