"Title","Prison officers by ethnicity over time"
"Location","England and Wales"
"Time period","2015 to 2017"
"Data source","NOMS Annual Staff Equalities report: 2016 to 2017"
"Data source link","https://www.gov.uk/government/statistics/noms-annual-staff-equalities-report-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","30/11/2017"

"","2015","","2016","","2017",""
"Ethnicity","% Prison officers","Number of prison officers","% Prison officers","Number of prison officers","% Prison officers","Number of prison officers"
"Asian","1.2","206","1.3","206","1.3","204"
"Black","2.3","401","2.4","396","2.6","410"
"Mixed","1.2","199","1.3","213","1.3","214"
"White","94.6","16,180","94.4","15,525","94.2","14,992"
"Other inc. Chinese","0.7","121","0.7","108","0.6","100"
"Unknown","N/A","1,851","N/A","2,641","N/A","3,254"
