"Title","Prison officers by ethnicity and time"
"Location","England and Wales"
"Time period","31/03/2013 to 31/03/2016"
"Data source","NOMS Annual Staff Equalities report"
"Data source link","https://www.gov.uk/government/statistics/noms-annual-staff-equalities-report-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Date","Ethnicity","%","Officers"
"2015","Asian or Asian British","1.2","206"
"2015","Black or Black British","2.3","401"
"2015","Chinese or Other ethnic group","0.7","121"
"2015","Mixed","1.2","199"
"2015","White","94.6","16,180"
"2015","Not Known / Prefer not to say","N/A","1,851"
"2016","Asian or Asian British","1.3","206"
"2016","Black or Black British","2.4","396"
"2016","Chinese or Other ethnic group","0.7","108"
"2016","Mixed","1.3","213"
"2016","White","94.4","15,525"
"2016","Not Known / Prefer not to say","N/A","2,641"
