"Title","Unemployment by ethnicity and region"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"REGION","ETHNICITY","Value","NUMERATOR"
"All","White","4","1,212,000"
"All","Other","8","338,000"
"East Midlands","White","4","88,000"
"East Midlands","Other","6","13,000"
"East of England","White","4","104,000"
"East of England","Other","6","16,000"
"London","White","4","119,000"
"London","Other","9","153,000"
"North East","White","6","79,000"
"North East","Other","10","6,000"
"North West","White","5","150,000"
"North West","Other","9","31,000"
"Scotland","White","5","122,000"
"Scotland","Other","?","?"
"South East","White","4","160,000"
"South East","Other","7","28,000"
"South West","White","4","104,000"
"South West","Other","?","?"
"Wales","White","5","66,000"
"Wales","Other","?","?"
"West Midlands","White","5","103,000"
"West Midlands","Other","11","51,000"
"Yorkshire and The Humber","White","5","118,000"
"Yorkshire and The Humber","Other","?","?"
