"Title","Unemployment by ethnicity and age"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"DATE","ECON_STATUS","REGION","ETHNICITY","SEX","AGE_BAND","AGE_GROUP","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","CONFIDENCE_INTERVAL"
"Jan16-Dec16","Unemployed","All","White","All","16-24","16+","450,000","3,786,542","1,746","12","2.4"
"Jan16-Dec16","Unemployed","All","White","All","25-49","16+","504,000","15,358,339","2,102","3","1.2"
"Jan16-Dec16","Unemployed","All","White","All","50-64","16+","241,000","7,840,653","1,203","3","1.5"
"Jan16-Dec16","Unemployed","All","White","All","65+","16+","17,000","1,127,362","101","2","3.7"
"Jan16-Dec16","Unemployed","All","Other","All","16-24","16+","120,000","525,857","355","23","6.9"
"Jan16-Dec16","Unemployed","All","Other","All","25-49","16+","174,000","2,763,892","571","6","3.2"
"Jan16-Dec16","Unemployed","All","Other","All","50-64","16+","42,000","711,344","161","6","5.8"
"Jan16-Dec16","Unemployed","All","Other","All","65+","16+","?","?","?","?","?"
"Jan16-Dec16","Unemployed","All","White","All","All","16+","1,212,000","28,112,896","5,152","4","0.9"
"Jan16-Dec16","Unemployed","All","Other","All","All","16+","338,000","4,050,288","1,093","8","2.6"
