"Title","New social housing lettings by ethnicity and age group"
"Location","England"
"Time period","2016/17"
"Data source","Social housing lettings in England: April 2016 to March 2017"
"Data source link","https://www.gov.uk/government/statistics/social-housing-lettings-in-england-april-2016-to-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","30/01/2018"

"Age","Ethnicity","%"
"16 - 17 yrs old","Asian","1.5"
"16 - 17 yrs old","Bangladeshi","0.6"
"16 - 17 yrs old","Chinese","1.9"
"16 - 17 yrs old","Indian","1.2"
"16 - 17 yrs old","Pakistani","1.7"
"16 - 17 yrs old","Asian other","2.2"
"16 - 17 yrs old","Black","1.4"
"16 - 17 yrs old","Black African","1.0"
"16 - 17 yrs old","Black Caribbean","1.8"
"16 - 17 yrs old","Black other","1.4"
"16 - 17 yrs old","Mixed","3.5"
"16 - 17 yrs old","Mixed White/Asian","4.8"
"16 - 17 yrs old","Mixed White/Black African","2.4"
"16 - 17 yrs old","Mixed White/Black Caribbean","4.0"
"16 - 17 yrs old","Mixed other","2.4"
"16 - 17 yrs old","White","1.7"
"16 - 17 yrs old","White British","1.8"
"16 - 17 yrs old","White Irish","0.5"
"16 - 17 yrs old","White Gypsy/Traveller","2.1"
"16 - 17 yrs old","White other","0.8"
"16 - 17 yrs old","Other","2.5"
"16 - 17 yrs old","Arab","3.2"
"16 - 17 yrs old","Any other","2.2"
"18 - 24 yrs old","Asian","12.7"
"18 - 24 yrs old","Bangladeshi","13.3"
"18 - 24 yrs old","Chinese","5.8"
"18 - 24 yrs old","Indian","9.9"
"18 - 24 yrs old","Pakistani","14.4"
"18 - 24 yrs old","Asian other","12.8"
"18 - 24 yrs old","Black","17.8"
"18 - 24 yrs old","Black African","16.3"
"18 - 24 yrs old","Black Caribbean","20.5"
"18 - 24 yrs old","Black other","17.0"
"18 - 24 yrs old","Mixed","28.4"
"18 - 24 yrs old","Mixed White/Asian","25.8"
"18 - 24 yrs old","Mixed White/Black African","21.4"
"18 - 24 yrs old","Mixed White/Black Caribbean","36.0"
"18 - 24 yrs old","Mixed other","18.9"
"18 - 24 yrs old","White","19.6"
"18 - 24 yrs old","White British","20.2"
"18 - 24 yrs old","White Irish","11.3"
"18 - 24 yrs old","White Gypsy/Traveller","17.0"
"18 - 24 yrs old","White other","9.8"
"18 - 24 yrs old","Other","14.9"
"18 - 24 yrs old","Arab","15.2"
"18 - 24 yrs old","Any other","14.8"
"25 - 29 yrs old","Asian","15.0"
"25 - 29 yrs old","Bangladeshi","18.1"
"25 - 29 yrs old","Chinese","8.7"
"25 - 29 yrs old","Indian","11.7"
"25 - 29 yrs old","Pakistani","17.7"
"25 - 29 yrs old","Asian other","12.3"
"25 - 29 yrs old","Black","14.6"
"25 - 29 yrs old","Black African","15.4"
"25 - 29 yrs old","Black Caribbean","13.2"
"25 - 29 yrs old","Black other","14.7"
"25 - 29 yrs old","Mixed","17.3"
"25 - 29 yrs old","Mixed White/Asian","16.5"
"25 - 29 yrs old","Mixed White/Black African","12.4"
"25 - 29 yrs old","Mixed White/Black Caribbean","20.1"
"25 - 29 yrs old","Mixed other","15.3"
"25 - 29 yrs old","White","13.7"
"25 - 29 yrs old","White British","13.7"
"25 - 29 yrs old","White Irish","8.5"
"25 - 29 yrs old","White Gypsy/Traveller","16.0"
"25 - 29 yrs old","White other","14.6"
"25 - 29 yrs old","Other","13.7"
"25 - 29 yrs old","Arab","14.3"
"25 - 29 yrs old","Any other","13.5"
"30 - 39 yrs old","Asian","33.0"
"30 - 39 yrs old","Bangladeshi","34.5"
"30 - 39 yrs old","Chinese","26.8"
"30 - 39 yrs old","Indian","28.6"
"30 - 39 yrs old","Pakistani","36.4"
"30 - 39 yrs old","Asian other","31.2"
"30 - 39 yrs old","Black","27.7"
"30 - 39 yrs old","Black African","30.5"
"30 - 39 yrs old","Black Caribbean","23.1"
"30 - 39 yrs old","Black other","28.0"
"30 - 39 yrs old","Mixed","25.2"
"30 - 39 yrs old","Mixed White/Asian","26.2"
"30 - 39 yrs old","Mixed White/Black African","27.6"
"30 - 39 yrs old","Mixed White/Black Caribbean","21.7"
"30 - 39 yrs old","Mixed other","30.4"
"30 - 39 yrs old","White","18.8"
"30 - 39 yrs old","White British","18.0"
"30 - 39 yrs old","White Irish","15.9"
"30 - 39 yrs old","White Gypsy/Traveller","28.5"
"30 - 39 yrs old","White other","35.1"
"30 - 39 yrs old","Other","31.9"
"30 - 39 yrs old","Arab","34.1"
"30 - 39 yrs old","Any other","31.0"
"40 - 49 yrs old","Asian","19.8"
"40 - 49 yrs old","Bangladeshi","21.0"
"40 - 49 yrs old","Chinese","18.5"
"40 - 49 yrs old","Indian","20.0"
"40 - 49 yrs old","Pakistani","17.2"
"40 - 49 yrs old","Asian other","22.3"
"40 - 49 yrs old","Black","19.7"
"40 - 49 yrs old","Black African","22.0"
"40 - 49 yrs old","Black Caribbean","15.7"
"40 - 49 yrs old","Black other","20.5"
"40 - 49 yrs old","Mixed","13.2"
"40 - 49 yrs old","Mixed White/Asian","13.7"
"40 - 49 yrs old","Mixed White/Black African","18.5"
"40 - 49 yrs old","Mixed White/Black Caribbean","9.4"
"40 - 49 yrs old","Mixed other","16.9"
"40 - 49 yrs old","White","13.6"
"40 - 49 yrs old","White British","13.3"
"40 - 49 yrs old","White Irish","14.9"
"40 - 49 yrs old","White Gypsy/Traveller","15.3"
"40 - 49 yrs old","White other","18.9"
"40 - 49 yrs old","Other","19.6"
"40 - 49 yrs old","Arab","19.0"
"40 - 49 yrs old","Any other","19.8"
"50 - 59 yrs old","Asian","8.2"
"50 - 59 yrs old","Bangladeshi","7.1"
"50 - 59 yrs old","Chinese","14.1"
"50 - 59 yrs old","Indian","11.0"
"50 - 59 yrs old","Pakistani","6.7"
"50 - 59 yrs old","Asian other","8.7"
"50 - 59 yrs old","Black","11.5"
"50 - 59 yrs old","Black African","9.6"
"50 - 59 yrs old","Black Caribbean","14.4"
"50 - 59 yrs old","Black other","12.1"
"50 - 59 yrs old","Mixed","7.0"
"50 - 59 yrs old","Mixed White/Asian","7.5"
"50 - 59 yrs old","Mixed White/Black African","8.1"
"50 - 59 yrs old","Mixed White/Black Caribbean","5.8"
"50 - 59 yrs old","Mixed other","8.4"
"50 - 59 yrs old","White","12.3"
"50 - 59 yrs old","White British","12.3"
"50 - 59 yrs old","White Irish","15.6"
"50 - 59 yrs old","White Gypsy/Traveller","9.6"
"50 - 59 yrs old","White other","11.3"
"50 - 59 yrs old","Other","9.5"
"50 - 59 yrs old","Arab","8.2"
"50 - 59 yrs old","Any other","9.9"
"60 - 69 yrs old","Asian","5.6"
"60 - 69 yrs old","Bangladeshi","3.0"
"60 - 69 yrs old","Chinese","14.1"
"60 - 69 yrs old","Indian","9.9"
"60 - 69 yrs old","Pakistani","3.7"
"60 - 69 yrs old","Asian other","6.2"
"60 - 69 yrs old","Black","4.1"
"60 - 69 yrs old","Black African","3.3"
"60 - 69 yrs old","Black Caribbean","5.3"
"60 - 69 yrs old","Black other","3.7"
"60 - 69 yrs old","Mixed","3.3"
"60 - 69 yrs old","Mixed White/Asian","3.6"
"60 - 69 yrs old","Mixed White/Black African","5.3"
"60 - 69 yrs old","Mixed White/Black Caribbean","1.6"
"60 - 69 yrs old","Mixed other","5.1"
"60 - 69 yrs old","White","10.1"
"60 - 69 yrs old","White British","10.3"
"60 - 69 yrs old","White Irish","15.2"
"60 - 69 yrs old","White Gypsy/Traveller","6.4"
"60 - 69 yrs old","White other","6.7"
"60 - 69 yrs old","Other","4.8"
"60 - 69 yrs old","Arab","3.5"
"60 - 69 yrs old","Any other","5.4"
"70 - 79 yrs old","Asian","2.6"
"70 - 79 yrs old","Bangladeshi","1.4"
"70 - 79 yrs old","Chinese","5.7"
"70 - 79 yrs old","Indian","4.9"
"70 - 79 yrs old","Pakistani","1.4"
"70 - 79 yrs old","Asian other","3.0"
"70 - 79 yrs old","Black","2.0"
"70 - 79 yrs old","Black African","1.3"
"70 - 79 yrs old","Black Caribbean","3.3"
"70 - 79 yrs old","Black other","1.9"
"70 - 79 yrs old","Mixed","1.6"
"70 - 79 yrs old","Mixed White/Asian","1.4"
"70 - 79 yrs old","Mixed White/Black African","3.3"
"70 - 79 yrs old","Mixed White/Black Caribbean","0.9"
"70 - 79 yrs old","Mixed other","2.0"
"70 - 79 yrs old","White","5.8"
"70 - 79 yrs old","White British","5.9"
"70 - 79 yrs old","White Irish","11.6"
"70 - 79 yrs old","White Gypsy/Traveller","3.6"
"70 - 79 yrs old","White other","1.9"
"70 - 79 yrs old","Other","2.1"
"70 - 79 yrs old","Arab","1.6"
"70 - 79 yrs old","Any other","2.3"
"80 + yrs old","Asian","1.4"
"80 + yrs old","Bangladeshi","1.1"
"80 + yrs old","Chinese","4.3"
"80 + yrs old","Indian","2.8"
"80 + yrs old","Pakistani","0.7"
"80 + yrs old","Asian other","1.3"
"80 + yrs old","Black","1.3"
"80 + yrs old","Black African","0.5"
"80 + yrs old","Black Caribbean","2.7"
"80 + yrs old","Black other","0.8"
"80 + yrs old","Mixed","0.6"
"80 + yrs old","Mixed White/Asian","0.6"
"80 + yrs old","Mixed White/Black African","0.9"
"80 + yrs old","Mixed White/Black Caribbean","0.4"
"80 + yrs old","Mixed other","0.6"
