"Title","New social housing lettings by ethnicity and income"
"Location","England"
"Time period","2015/16"
"Data source","Social housing lettings in England: April 2015 to March 2016"
"Data source link","https://www.gov.uk/government/statistics/social-housing-lettings-in-england-april-2015-to-march-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Income","Ethnicity","%","Social housing lettings"
"£600 and above","Black","3.4","519"
"£600 and above","Black African","4.0","329"
"£600 and above","Black Caribbean","2.3","124"
"£600 and above","Black other","3.8","66"
"£600 and above","Mixed","2.4","149"
"£600 and above","Mixed White/Asian","2.3","18"
"£600 and above","Mixed White/Black African","3.7","39"
"£600 and above","Mixed White/Black Caribbean","1.6","49"
"£600 and above","Mixed other","3.1","43"
"£600 and above","White","3.1","5,083"
"£600 and above","White British","2.9","4,529"
"£600 and above","White Irish","2.4","27"
"£600 and above","White Gypsy/Traveller","1.5","3"
"£600 and above","White other","6.0","524"
"£600 and above","Other","1.8","65"
"£600 and above","Arab","1.5","16"
"£600 and above","Any other","1.9","49"
