"Title","EBacc achievement by ethnicity, gender and basis for school admission"
"Location","England"
"Time period","2015 /16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Admissions basis","All","Boys","Girls"
"All","Selective schools","76","72","79"
"All","Non-selective schools in highly selective areas","14","10","19"
"All","Non-selective schools in other areas (inc. low selective areas)","24","18","29"
"All","All state-funded mainstream schools","25","20","30"
"Asian","Selective schools","80","74","85"
"Asian","Non-selective schools in highly selective areas","19","13","26"
"Asian","Non-selective schools in other areas (inc. low selective areas)","28","22","36"
"Asian","All state-funded mainstream schools","32","25","39"
"Black","Selective schools","79","73","84"
"Black","Non-selective schools in highly selective areas","21","11","31"
"Black","Non-selective schools in other areas (inc. low selective areas)","22","16","28"
"Black","All state-funded mainstream schools","23","17","30"
"Chinese","Selective schools","84","80","88"
"Chinese","Non-selective schools in highly selective areas","25","29","20"
"Chinese","Non-selective schools in other areas (inc. low selective areas)","47","37","56"
"Chinese","All state-funded mainstream schools","52","44","61"
"Mixed","Selective schools","80","77","83"
"Mixed","Non-selective schools in highly selective areas","15","10","20"
"Mixed","Non-selective schools in other areas (inc. low selective areas)","25","20","30"
"Mixed","All state-funded mainstream schools","27","22","32"
"White","Selective schools","74","71","77"
"White","Non-selective schools in highly selective areas","14","10","18"
"White","Non-selective schools in other areas (inc. low selective areas)","23","18","28"
"White","All state-funded mainstream schools","24","19","29"
