"Standard Ethnicity","Local authority","All","Boys","Girls"
"Black","Luton","13","11","15"
"Black","Manchester","16","10","23"
"Black","Medway","35","19","45"
"Black","Merton","22","16","27"
"Black","Middlesbrough","!","!","!"
"Black","Milton Keynes","21","15","26"
"Black","Newcastle upon Tyne","23","10","34"
"Black","Newham","26","19","33"
"Black","Norfolk","28","12","54"
"Black","North East Lincolnshire","!","!","!"
"Black","North Lincolnshire","27","!","!"
"Black","North Somerset","!","!","!"
"Black","North Tyneside","46","!","!"
"Black","North Yorkshire","28","!","!"
"Black","Northamptonshire","22","11","32"
"Black","Northumberland","!","!","!"
"Black","Nottingham","14","7","21"
"Black","Nottinghamshire","32","20","42"
"Black","Oldham","6","!","!"
"Black","Oxfordshire","18","12","25"
"Black","Peterborough","29","20","39"
"Black","Plymouth","!","!","!"
"Black","Poole","!","!","!"
"Black","Portsmouth","21","!","!"
"Black","Reading","13","7","20"
"Black","Redbridge","23","15","30"
"Black","Redcar and Cleveland","!","!","!"
"Black","Richmond upon Thames","25","25","25"
"Black","Rochdale","29","21","38"
"Black","Rotherham","26","20","33"
"Black","Rutland","!","!","!"
"Black","Salford","23","24","22"
"Black","Sandwell","12","8","16"
"Black","Sefton","33","!","!"
"Black","Sheffield","18","13","24"
"Black","Shropshire","43","!","!"
"Black","Slough","16","11","21"
"Black","Solihull","25","15","34"
"Black","Somerset","21","!","!"
"Black","South Gloucestershire","!","!","!"
"Black","South Tyneside","!","!","!"
"Black","Southampton","32","39","27"
"Black","Southend-on-Sea","54","53","55"
"Black","Southwark","34","27","39"
"Black","St. Helens","!","!","!"
"Black","Staffordshire","32","21","39"
"Black","Stockport","33","29","43"
"Black","Stockton-on-Tees","!","38","!"
"Black","Stoke-on-Trent","15","!","!"
"Black","Suffolk","11","!","!"
"Black","Sunderland","38","!","!"
"Black","Surrey","26","24","27"
"Black","Sutton","49","44","54"
"Black","Swindon","19","14","24"
"Black","Tameside","17","!","!"
"Black","Telford and Wrekin","22","19","27"
"Black","Thurrock","33","29","36"
"Black","Torbay","!","!","!"
"Black","Tower Hamlets","25","20","32"
"Black","Trafford","24","17","31"
"Black","Wakefield","11","!","!"
"Black","Walsall","25","13","39"
"Black","Waltham Forest","15","6","22"
"Black","Wandsworth","24","20","29"
"Black","Warrington","!","!","!"
"Black","Warwickshire","16","!","!"
"Black","West Berkshire","16","!","!"
"Black","West Sussex","17","13","21"
"Black","Westminster","25","16","36"
"Black","Wigan","56","!","!"
"Black","Wiltshire","18","14","25"
"Black","Windsor and Maidenhead","24","!","!"
"Black","Wirral","50","!","!"
"Black","Wokingham","21","11","32"
"Black","Wolverhampton","9","6","11"
"Black","Worcestershire","!","!","!"
"Black","York","!","!","!"
"Chinese","England","53","45","61"
"Chinese","Barking and Dagenham","!","!","!"
"Chinese","Barnet","70","52","84"
"Chinese","Barnsley","N/A","N/A","N/A"
"Chinese","Bath and North East Somerset","!","!","!"
"Chinese","Bedford","!","!","!"
"Chinese","Bexley","58","64","50"
"Chinese","Birmingham","56","33","75"
"Chinese","Blackburn with Darwen","!","!","N/A"
"Chinese","Blackpool","!","!","!"
"Chinese","Bolton","43","!","!"
"Chinese","Bournemouth","!","!","!"
"Chinese","Bracknell Forest","!","!","!"
"Chinese","Bradford","!","N/A","!"
"Chinese","Brent","44","!","!"
"Chinese","Brighton and Hove","!","!","!"
"Chinese","Bristol, City of","27","!","!"
"Chinese","Bromley","64","57","73"
"Chinese","Buckinghamshire","67","!","!"
"Chinese","Bury","!","!","!"
"Chinese","Calderdale","!","!","!"
"Chinese","Cambridgeshire","50","35","69"
"Chinese","Camden","60","!","!"
"Chinese","Central Bedfordshire","40","!","!"
"Chinese","Cheshire East","53","!","!"
"Chinese","Cheshire West and Chester","63","!","!"
"Chinese","City of London","N/A","N/A","N/A"
"Chinese","Cornwall","!","!","!"
"Chinese","County Durham","50","!","!"
"Chinese","Coventry","56","!","!"
"Chinese","Croydon","62","38","77"
"Chinese","Cumbria","56","!","!"
"Chinese","Darlington","!","N/A","!"
"Chinese","Derby","38","!","!"
"Chinese","Derbyshire","21","!","!"
"Chinese","Devon","54","!","!"
"Chinese","Doncaster","40","!","!"
"Chinese","Dorset","46","!","!"
"Chinese","Dudley","!","!","!"
"Chinese","Ealing","!","N/A","!"
"Chinese","East Riding of Yorkshire","!","!","!"
"Chinese","East Sussex","56","!","!"
"Chinese","Enfield","65","56","73"
"Chinese","Essex","51","44","58"
"Chinese","Gateshead","!","!","!"
"Chinese","Gloucestershire","65","!","!"
"Chinese","Greenwich","54","46","64"
"Chinese","Hackney","58","!","!"
"Chinese","Halton","N/A","N/A","N/A"
"Chinese","Hammersmith and Fulham","50","!","!"
"Chinese","Hampshire","54","54","56"
"Chinese","Haringey","25","!","!"
"Chinese","Harrow","73","!","!"
"Chinese","Hartlepool","!","!","N/A"
"Chinese","Havering","55","!","!"
"Chinese","Herefordshire, County of","!","!","!"
"Chinese","Hertfordshire","65","70","61"
"Chinese","Hillingdon","42","!","!"
"Chinese","Hounslow","!","!","!"
"Chinese","Isle of Wight","!","!","!"
"Chinese","Isles of Scilly","N/A","N/A","N/A"
"Chinese","Islington","!","!","!"
"Chinese","Kensington and Chelsea","!","N/A","!"
"Chinese","Kent","66","70","61"
"Chinese","Kingston upon Hull, City of","!","N/A","!"
"Chinese","Kingston upon Thames","70","!","!"
"Chinese","Kirklees","50","!","!"
"Chinese","Knowsley","!","N/A","!"
"Chinese","Lambeth","60","!","!"
"Chinese","Lancashire","38","19","56"
"Chinese","Leeds","32","29","36"
"Chinese","Leicester","!","N/A","!"
"Chinese","Leicestershire","46","31","67"
"Chinese","Lewisham","49","50","48"
"Chinese","Lincolnshire","64","58","71"
"Chinese","Liverpool","53","55","52"
"Chinese","Luton","!","!","!"
"Chinese","Manchester","35","17","58"
"Chinese","Medway","73","!","!"
"Chinese","Merton","!","!","!"
"Chinese","Middlesbrough","N/A","N/A","N/A"
"Chinese","Milton Keynes","33","!","!"
"Chinese","Newcastle upon Tyne","46","43","50"
"Chinese","Newham","27","!","!"
"Chinese","Norfolk","28","33","23"
"Chinese","North East Lincolnshire","!","N/A","!"
"Chinese","North Lincolnshire","100","100","N/A"
"Chinese","North Somerset","!","!","!"
"Chinese","North Tyneside","67","!","!"
"Chinese","North Yorkshire","62","!","!"
"Chinese","Northamptonshire","55","70","40"
"Chinese","Northumberland","!","!","!"
"Chinese","Nottingham","!","!","100"
"Chinese","Nottinghamshire","60","46","75"
"Chinese","Oldham","43","!","!"
"Chinese","Oxfordshire","31","!","!"
"Chinese","Peterborough","50","!","!"
"Chinese","Plymouth","31","!","!"
"Chinese","Poole","!","!","!"
"Chinese","Portsmouth","!","!","100"
"Chinese","Reading","!","!","!"
"Chinese","Redbridge","70","!","!"
"Chinese","Redcar and Cleveland","!","N/A","!"
"Chinese","Richmond upon Thames","67","!","!"
"Chinese","Rochdale","!","!","N/A"
"Chinese","Rotherham","!","!","100"
"Chinese","Rutland","N/A","N/A","N/A"
"Chinese","Salford","50","!","!"
"Chinese","Sandwell","!","!","!"
"Chinese","Sefton","50","!","!"
"Chinese","Sheffield","44","43","46"
"Chinese","Shropshire","50","!","!"
"Chinese","Slough","!","!","!"
"Chinese","Solihull","30","!","!"
"Chinese","Somerset","27","!","!"
"Chinese","South Gloucestershire","!","!","!"
"Chinese","South Tyneside","N/A","N/A","N/A"
"Chinese","Southampton","56","!","!"
"Chinese","Southend-on-Sea","64","67","60"
"Chinese","Southwark","59","52","69"
"Chinese","St. Helens","!","!","!"
"Chinese","Staffordshire","40","43","39"
"Chinese","Stockport","31","!","!"
"Chinese","Stockton-on-Tees","!","!","!"
"Chinese","Stoke-on-Trent","44","!","!"
"Chinese","Suffolk","!","!","!"
"Chinese","Sunderland","100","N/A","100"
"Chinese","Surrey","64","56","74"
"Chinese","Sutton","73","65","83"
"Chinese","Swindon","40","!","!"
"Chinese","Tameside","33","!","!"
"Chinese","Telford and Wrekin","44","!","!"
"Chinese","Thurrock","33","!","!"
"Chinese","Torbay","63","!","!"
"Chinese","Tower Hamlets","40","!","!"
"Chinese","Trafford","59","!","!"
"Chinese","Wakefield","!","!","!"
"Chinese","Walsall","100","!","!"
"Chinese","Waltham Forest","14","!","!"
"Chinese","Wandsworth","71","!","!"
"Chinese","Warrington","!","!","!"
"Chinese","Warwickshire","63","40","100"
"Chinese","West Berkshire","50","!","!"
"Chinese","West Sussex","42","!","!"
"Chinese","Westminster","50","!","!"
"Chinese","Wigan","!","!","!"
"Chinese","Wiltshire","!","!","100"
"Chinese","Windsor and Maidenhead","63","!","!"
"Chinese","Wirral","64","!","!"
"Chinese","Wokingham","60","!","!"
"Chinese","Wolverhampton","!","!","!"
"Chinese","Worcestershire","!","!","!"
"Chinese","York","56","!","!"
"Mixed","England","27","22","32"
"Mixed","Barking and Dagenham","15","12","18"
"Mixed","Barnet","45","41","48"
"Mixed","Barnsley","29","18","39"
"Mixed","Bath and North East Somerset","28","29","28"
"Mixed","Bedford","16","12","20"
"Mixed","Bexley","29","27","31"
"Mixed","Birmingham","25","24","26"
"Mixed","Blackburn with Darwen","23","17","29"
"Mixed","Blackpool","!","!","!"
"Mixed","Bolton","16","7","26"
"Mixed","Bournemouth","37","30","46"
"Mixed","Bracknell Forest","27","30","23"
"Mixed","Bradford","16","14","17"
"Mixed","Brent","25","16","36"
"Mixed","Brighton and Hove","28","23","35"
"Mixed","Bristol, City of","19","15","23"
"Mixed","Bromley","39","35","42"
"Mixed","Buckinghamshire","35","32","37"
"Mixed","Bury","28","20","36"
"Mixed","Calderdale","17","7","26"
"Mixed","Cambridgeshire","33","25","41"
"Mixed","Camden","25","7","39"
"Mixed","Central Bedfordshire","26","23","30"
"Mixed","Cheshire East","27","13","42"
"Mixed","Cheshire West and Chester","32","24","41"
"Mixed","City of London","N/A","N/A","N/A"
"Mixed","Cornwall","22","13","30"
"Mixed","County Durham","36","25","42"
"Mixed","Coventry","16","10","22"
"Mixed","Croydon","24","16","29"
"Mixed","Cumbria","38","23","48"
"Mixed","Darlington","!","!","!"
"Mixed","Derby","17","13","20"
"Mixed","Derbyshire","16","13","20"
"Mixed","Devon","26","26","27"
"Mixed","Doncaster","20","!","!"
"Mixed","Dorset","23","24","20"
"Mixed","Dudley","16","16","17"
"Mixed","Ealing","39","29","47"
"Mixed","East Riding of Yorkshire","15","11","22"
"Mixed","East Sussex","22","14","31"
"Mixed","Enfield","30","24","39"
"Mixed","Essex","30","27","34"
"Mixed","Gateshead","40","36","44"
"Mixed","Gloucestershire","28","24","31"
"Mixed","Greenwich","32","27","37"
"Mixed","Hackney","34","25","41"
"Mixed","Halton","56","69","42"
"Mixed","Hammersmith and Fulham","39","27","53"
"Mixed","Hampshire","30","23","38"
"Mixed","Haringey","32","27","38"
"Mixed","Harrow","28","22","32"
"Mixed","Hartlepool","!","!","!"
"Mixed","Havering","32","27","37"
"Mixed","Herefordshire, County of","28","!","!"
"Mixed","Hertfordshire","32","28","37"
"Mixed","Hillingdon","26","22","30"
"Mixed","Hounslow","43","44","43"
"Mixed","Isle of Wight","19","!","!"
"Mixed","Isles of Scilly","N/A","N/A","N/A"
"Mixed","Islington","23","20","28"
"Mixed","Kensington and Chelsea","38","34","43"
"Mixed","Kent","40","32","47"
"Mixed","Kingston upon Hull, City of","25","21","31"
"Mixed","Kingston upon Thames","58","59","58"
"Mixed","Kirklees","16","8","26"
"Mixed","Knowsley","24","!","!"
"Mixed","Lambeth","22","19","25"
"Mixed","Lancashire","23","18","27"
"Mixed","Leeds","22","20","25"
"Mixed","Leicester","19","16","21"
"Mixed","Leicestershire","21","13","31"
"Mixed","Lewisham","27","20","35"
"Mixed","Lincolnshire","40","!","!"
"Mixed","Liverpool","17","14","19"
"Mixed","Luton","14","11","16"
"Mixed","Manchester","16","12","20"
"Mixed","Medway","31","18","41"
"Mixed","Merton","30","30","31"
"Mixed","Middlesbrough","17","!","!"
"Mixed","Milton Keynes","25","24","25"
"Mixed","Newcastle upon Tyne","32","23","41"
"Mixed","Newham","23","19","27"
"Mixed","Norfolk","19","14","23"
"Mixed","North East Lincolnshire","24","16","39"
"Mixed","North Lincolnshire","16","!","!"
"Mixed","North Somerset","36","32","41"
"Mixed","North Tyneside","40","41","39"
"Mixed","North Yorkshire","32","32","33"
"Mixed","Northamptonshire","22","14","29"
"Mixed","Northumberland","17","21","14"
"Mixed","Nottingham","19","14","23"
"Mixed","Nottinghamshire","26","16","36"
"Mixed","Oldham","10","13","8"
"Mixed","Oxfordshire","22","18","26"
"Mixed","Peterborough","28","16","40"
"Mixed","Plymouth","33","22","40"
"Mixed","Poole","32","33","30"
"Mixed","Portsmouth","24","!","!"
"Mixed","Reading","18","19","18"
"Mixed","Redbridge","29","22","36"
"Mixed","Redcar and Cleveland","40","!","!"
"Mixed","Richmond upon Thames","44","40","49"
"Mixed","Rochdale","24","21","26"
"Mixed","Rotherham","19","15","24"
"Mixed","Rutland","44","!","!"
"Mixed","Salford","25","22","29"
"Mixed","Sandwell","11","6","19"
"Mixed","Sefton","22","14","28"
"Mixed","Sheffield","19","13","23"
"Mixed","Shropshire","25","19","32"
"Mixed","Slough","24","23","25"
"Mixed","Solihull","22","20","23"
"Mixed","Somerset","24","20","28"
"Mixed","South Gloucestershire","17","13","21"
"Mixed","South Tyneside","24","!","!"
"Mixed","Southampton","14","7","20"
"Mixed","Southend-on-Sea","37","33","42"
"Mixed","Southwark","35","30","40"
"Mixed","St. Helens","!","!","!"
"Mixed","Staffordshire","23","17","29"
"Mixed","Stockport","30","27","33"
"Mixed","Stockton-on-Tees","32","25","44"
"Mixed","Stoke-on-Trent","7","!","!"
"Mixed","Suffolk","20","17","22"
"Mixed","Sunderland","26","!","!"
"Mixed","Surrey","36","30","42"
"Mixed","Sutton","50","47","53"
"Mixed","Swindon","20","17","23"
"Mixed","Tameside","16","15","18"
"Mixed","Telford and Wrekin","30","22","38"
"Mixed","Thurrock","43","34","52"
"Mixed","Torbay","35","39","32"
"Mixed","Tower Hamlets","17","17","17"
"Mixed","Trafford","36","29","44"
"Mixed","Wakefield","20","15","24"
"Mixed","Walsall","19","12","28"
"Mixed","Waltham Forest","24","23","25"
"Mixed","Wandsworth","34","27","41"
"Mixed","Warrington","23","15","33"
"Mixed","Warwickshire","31","31","32"
"Mixed","West Berkshire","33","30","36"
