"Title","EBacc achievement by ethnicity and area "
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","%","Pupils"
"White","Cheshire West and Chester","30","3,283"
"White","City of London","N/A","N/A"
"White","Cornwall","19","5,232"
"White","County Durham","25","4,846"
"White","Coventry","18","2,275"
"White","Croydon","26","1,534"
"White","Cumbria","22","4,987"
"White","Darlington","24","1,086"
"White","Derby","19","2,015"
"White","Derbyshire","19","7,297"
"White","Devon","23","6,726"
"White","Doncaster","16","2,808"
"White","Dorset","24","3,933"
"White","Dudley","17","2,974"
"White","Ealing","42","826"
"White","East Riding of Yorkshire","21","3,222"
"White","East Sussex","21","4,532"
"White","Enfield","30","1,754"
"White","Essex","22","13,142"
"White","Gateshead","25","1,810"
"White","Gloucestershire","26","5,882"
"White","Greenwich","22","1,071"
"White","Hackney","37","687"
"White","Halton","32","1,335"
"White","Hammersmith and Fulham","51","624"
"White","Hampshire","26","12,110"
"White","Haringey","32","1,005"
"White","Harrow","30","610"
"White","Hartlepool","14","1,036"
"White","Havering","27","2,237"
"White","Herefordshire, County of","23","1,681"
"White","Hertfordshire","32","10,336"
"White","Hillingdon","21","1,479"
"White","Hounslow","37","951"
"White","Isle of Wight","13","1,249"
"White","Isles of Scilly","!","21"
"White","Islington","25","506"
"White","Kensington and Chelsea","43","297"
"White","Kent","28","14,022"
"White","Kingston upon Hull, City of","20","2,028"
"White","Kingston upon Thames","42","871"
"White","Kirklees","22","3,029"
"White","Knowsley","10","1,103"
"White","Lambeth","29","491"
"White","Lancashire","22","10,512"
"White","Leeds","24","5,700"
"White","Leicester","9","1,149"
"White","Leicestershire","18","6,108"
"White","Lewisham","25","698"
"White","Lincolnshire","27","7,464"
"White","Liverpool","23","3,919"
"White","Luton","14","937"
"White","Manchester","17","2,312"
"White","Medway","25","2,508"
"White","Merton","31","734"
"White","Middlesbrough","10","1,164"
"White","Milton Keynes","19","1,994"
"White","Newcastle upon Tyne","23","1,913"
"White","Newham","23","582"
"White","Norfolk","21","7,551"
"White","North East Lincolnshire","17","1,486"
"White","North Lincolnshire","18","1,751"
"White","North Somerset","20","2,043"
"White","North Tyneside","25","1,833"
"White","North Yorkshire","29","5,886"
"White","Northamptonshire","22","6,612"
"White","Northumberland","19","3,100"
"White","Nottingham","14","1,528"
"White","Nottinghamshire","25","7,243"
"White","Oldham","18","1,901"
"White","Oxfordshire","25","5,136"
"White","Peterborough","20","1,698"
"White","Plymouth","20","2,489"
"White","Poole","25","1,338"
"White","Portsmouth","17","1,515"
"White","Reading","28","711"
"White","Redbridge","28","903"
"White","Redcar and Cleveland","19","1,567"
"White","Richmond upon Thames","43","1,025"
"White","Rochdale","14","1,601"
"White","Rotherham","20","2,980"
"White","Rutland","26","472"
"White","Salford","19","1,832"
"White","Sandwell","11","1,986"
"White","Sefton","25","2,896"
"White","Sheffield","23","4,001"
"White","Shropshire","24","2,857"
"White","Slough","24","497"
"White","Solihull","27","2,375"
"White","Somerset","20","4,933"
"White","South Gloucestershire","18","2,530"
"White","South Tyneside","20","1,421"
"White","Southampton","19","1,593"
"White","Southend-on-Sea","29","1,649"
"White","Southwark","37","685"
"White","St. Helens","20","1,675"
"White","Staffordshire","20","8,176"
"White","Stockport","30","2,463"
"White","Stockton-on-Tees","26","1,842"
"White","Stoke-on-Trent","15","1,801"
"White","Suffolk","18","6,440"
"White","Sunderland","21","2,677"
"White","Surrey","30","8,958"
"White","Sutton","35","1,623"
"White","Swindon","16","1,756"
"White","Tameside","18","2,078"
"White","Telford and Wrekin","22","1,769"
"White","Thurrock","23","1,385"
"White","Torbay","!","1,335"
"White","Tower Hamlets","21","316"
"White","Trafford","36","2,118"
"White","Wakefield","20","3,407"
"White","Walsall","18","2,306"
"White","Waltham Forest","26","969"
"White","Wandsworth","38","571"
"White","Warrington","24","2,216"
"White","Warwickshire","28","5,003"
"White","West Berkshire","30","1,704"
"White","West Sussex","26","7,316"
"White","Westminster","41","483"
"White","Wigan","22","3,271"
"White","Wiltshire","26","4,582"
"White","Windsor and Maidenhead","32","1,119"
"White","Wirral","34","3,222"
"White","Wokingham","35","1,231"
"White","Wolverhampton","12","1,457"
"White","Worcestershire","25","5,183"
"White","York","35","1,511"
