"Title","EBacc achievement by ethnicity and area "
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","%","Pupils"
"Asian","County Durham","42","33"
"Asian","Coventry","31","660"
"Asian","Croydon","34","453"
"Asian","Cumbria","32","31"
"Asian","Darlington","19","21"
"Asian","Derby","27","482"
"Asian","Derbyshire","21","75"
"Asian","Devon","42","26"
"Asian","Doncaster","17","77"
"Asian","Dorset","24","46"
"Asian","Dudley","21","298"
"Asian","Ealing","34","747"
"Asian","East Riding of Yorkshire","42","12"
"Asian","East Sussex","37","60"
"Asian","Enfield","53","313"
"Asian","Essex","58","337"
"Asian","Gateshead","46","35"
"Asian","Gloucestershire","54","146"
"Asian","Greenwich","41","207"
"Asian","Hackney","38","272"
"Asian","Halton","!","!"
"Asian","Hammersmith and Fulham","40","116"
"Asian","Hampshire","36","333"
"Asian","Haringey","37","127"
"Asian","Harrow","39","900"
"Asian","Hartlepool","21","14"
"Asian","Havering","38","117"
"Asian","Herefordshire, County of","!","5"
"Asian","Hertfordshire","43","849"
"Asian","Hillingdon","37","751"
"Asian","Hounslow","44","696"
"Asian","Isle of Wight","!","12"
"Asian","Isles of Scilly","N/A","0"
"Asian","Islington","29","170"
"Asian","Kensington and Chelsea","46","26"
"Asian","Kent","54","526"
"Asian","Kingston upon Hull, City of","47","17"
"Asian","Kingston upon Thames","63","343"
"Asian","Kirklees","23","1,139"
"Asian","Knowsley","!","!"
"Asian","Lambeth","28","79"
"Asian","Lancashire","24","1,147"
"Asian","Leeds","22","849"
"Asian","Leicester","27","1,631"
"Asian","Leicestershire","33","505"
"Asian","Lewisham","30","129"
"Asian","Lincolnshire","!","76"
"Asian","Liverpool","41","132"
"Asian","Luton","24","967"
"Asian","Manchester","28","974"
"Asian","Medway","46","157"
"Asian","Merton","35","222"
"Asian","Middlesbrough","17","172"
"Asian","Milton Keynes","35","204"
"Asian","Newcastle upon Tyne","33","249"
"Asian","Newham","38","1,601"
"Asian","Norfolk","40","88"
"Asian","North East Lincolnshire","!","10"
"Asian","North Lincolnshire","36","62"
"Asian","North Somerset","25","32"
"Asian","North Tyneside","37","38"
"Asian","North Yorkshire","37","93"
"Asian","Northamptonshire","34","326"
"Asian","Northumberland","38","42"
"Asian","Nottingham","25","438"
"Asian","Nottinghamshire","41","180"
"Asian","Oldham","14","822"
"Asian","Oxfordshire","24","317"
"Asian","Peterborough","25","367"
"Asian","Plymouth","56","25"
"Asian","Poole","58","31"
"Asian","Portsmouth","31","95"
"Asian","Reading","41","221"
"Asian","Redbridge","40","1,623"
"Asian","Redcar and Cleveland","29","21"
"Asian","Richmond upon Thames","43","96"
"Asian","Rochdale","21","551"
"Asian","Rotherham","15","231"
"Asian","Rutland","!","4"
"Asian","Salford","37","38"
"Asian","Sandwell","19","934"
"Asian","Sefton","48","23"
"Asian","Sheffield","19","501"
"Asian","Shropshire","!","19"
"Asian","Slough","35","798"
"Asian","Solihull","35","278"
"Asian","Somerset","34","50"
"Asian","South Gloucestershire","27","67"
"Asian","South Tyneside","33","57"
"Asian","Southampton","36","176"
"Asian","Southend-on-Sea","62","135"
"Asian","Southwark","45","124"
"Asian","St. Helens","43","14"
"Asian","Staffordshire","22","254"
"Asian","Stockport","34","168"
"Asian","Stockton-on-Tees","29","106"
"Asian","Stoke-on-Trent","19","301"
"Asian","Suffolk","34","102"
"Asian","Sunderland","36","90"
"Asian","Surrey","36","602"
"Asian","Sutton","75","524"
"Asian","Swindon","27","195"
"Asian","Tameside","25","253"
"Asian","Telford and Wrekin","30","117"
"Asian","Thurrock","45","65"
"Asian","Torbay","42","12"
"Asian","Tower Hamlets","31","1,685"
"Asian","Trafford","39","327"
"Asian","Wakefield","27","116"
"Asian","Walsall","32","628"
"Asian","Waltham Forest","29","635"
"Asian","Wandsworth","40","333"
"Asian","Warrington","35","49"
"Asian","Warwickshire","39","263"
"Asian","West Berkshire","44","50"
"Asian","West Sussex","35","330"
"Asian","Westminster","33","199"
"Asian","Wigan","20","30"
"Asian","Wiltshire","23","70"
"Asian","Windsor and Maidenhead","33","191"
"Asian","Wirral","59","64"
"Asian","Wokingham","30","166"
"Asian","Wolverhampton","28","530"
"Asian","Worcestershire","18","142"
"Asian","York","64","11"
"Black","All - England","23","27,589"
"Black","Barking and Dagenham","25","551"
"Black","Barnet","30","489"
"Black","Barnsley","20","15"
"Black","Bath and North East Somerset","13","24"
"Black","Bedford","11","109"
"Black","Bexley","42","532"
"Black","Birmingham","21","1,489"
"Black","Blackburn with Darwen","!","15"
"Black","Blackpool","!","9"
"Black","Bolton","13","124"
"Black","Bournemouth","29","17"
"Black","Bracknell Forest","27","26"
"Black","Bradford","12","81"
"Black","Brent","19","767"
"Black","Brighton and Hove","12","41"
"Black","Bristol, City of","11","282"
"Black","Bromley","34","272"
"Black","Buckinghamshire","29","132"
"Black","Bury","25","36"
"Black","Calderdale","35","20"
"Black","Cambridgeshire","20","56"
"Black","Camden","20","345"
"Black","Central Bedfordshire","32","44"
"Black","Cheshire East","!","13"
"Black","Cheshire West and Chester","!","12"
"Black","City of London","N/A","N/A"
"Black","Cornwall","!","9"
"Black","County Durham","50","6"
"Black","Coventry","21","276"
"Black","Croydon","19","1,124"
"Black","Cumbria","23","13"
"Black","Darlington","!","!"
"Black","Derby","6","85"
"Black","Derbyshire","!","19"
"Black","Devon","29","14"
"Black","Doncaster","23","35"
"Black","Dorset","!","9"
"Black","Dudley","20","70"
"Black","Ealing","25","574"
"Black","East Riding of Yorkshire","!","!"
"Black","East Sussex","23","31"
"Black","Enfield","24","879"
"Black","Essex","39","333"
"Black","Gateshead","21","14"
"Black","Gloucestershire","11","63"
"Black","Greenwich","27","604"
"Black","Hackney","27","719"
"Black","Halton","!","!"
"Black","Hammersmith and Fulham","22","333"
"Black","Hampshire","17","115"
"Black","Haringey","17","639"
"Black","Harrow","24","344"
"Black","Hartlepool","!","5"
"Black","Havering","28","362"
"Black","Herefordshire, County of","!","5"
"Black","Hertfordshire","32","447"
"Black","Hillingdon","22","327"
"Black","Hounslow","30","344"
"Black","Isle of Wight","N/A","0"
"Black","Isles of Scilly","N/A","0"
"Black","Islington","27","423"
"Black","Kensington and Chelsea","27","148"
"Black","Kent","40","303"
"Black","Kingston upon Hull, City of","22","23"
"Black","Kingston upon Thames","32","73"
"Black","Kirklees","15","85"
"Black","Knowsley","!","!"
"Black","Lambeth","23","945"
"Black","Lancashire","21","38"
"Black","Leeds","18","440"
"Black","Leicester","16","345"
"Black","Leicestershire","14","43"
"Black","Lewisham","17","1,041"
"Black","Lincolnshire","29","34"
"Black","Liverpool","20","137"
"Black","Luton","13","294"
"Black","Manchester","16","741"
"Black","Medway","35","116"
"Black","Merton","22","299"
"Black","Middlesbrough","!","15"
"Black","Milton Keynes","21","338"
"Black","Newcastle upon Tyne","23","80"
"Black","Newham","26","917"
"Black","Norfolk","28","68"
"Black","North East Lincolnshire","!","!"
"Black","North Lincolnshire","27","11"
"Black","North Somerset","!","15"
"Black","North Tyneside","46","11"
"Black","North Yorkshire","28","18"
"Black","Northamptonshire","22","282"
"Black","Northumberland","!","!"
"Black","Nottingham","14","248"
"Black","Nottinghamshire","32","78"
"Black","Oldham","6","47"
"Black","Oxfordshire","18","126"
"Black","Peterborough","29","73"
"Black","Plymouth","!","18"
"Black","Poole","!","4"
"Black","Portsmouth","21","33"
"Black","Reading","13","90"
"Black","Redbridge","23","494"
"Black","Redcar and Cleveland","!","3"
"Black","Richmond upon Thames","25","48"
"Black","Rochdale","29","63"
"Black","Rotherham","26","38"
"Black","Rutland","!","3"
"Black","Salford","23","78"
"Black","Sandwell","12","257"
"Black","Sefton","33","15"
"Black","Sheffield","18","260"
"Black","Shropshire","43","7"
"Black","Slough","16","148"
"Black","Solihull","25","72"
"Black","Somerset","21","14"
"Black","South Gloucestershire","!","43"
"Black","South Tyneside","!","8"
"Black","Southampton","32","56"
"Black","Southend-on-Sea","54","125"
"Black","Southwark","34","1,094"
"Black","St. Helens","!","8"
"Black","Staffordshire","32","37"
"Black","Stockport","33","21"
"Black","Stockton-on-Tees","!","!"
"Black","Stoke-on-Trent","15","48"
"Black","Suffolk","11","53"
"Black","Sunderland","38","16"
"Black","Surrey","26","180"
"Black","Sutton","49","212"
"Black","Swindon","19","42"
"Black","Tameside","17","35"
"Black","Telford and Wrekin","22","36"
"Black","Thurrock","33","164"
"Black","Torbay","!","7"
"Black","Tower Hamlets","25","307"
"Black","Trafford","24","75"
"Black","Wakefield","11","38"
"Black","Walsall","25","139"
"Black","Waltham Forest","15","598"
"Black","Wandsworth","24","458"
"Black","Warrington","!","14"
"Black","Warwickshire","16","50"
"Black","West Berkshire","16","25"
"Black","West Sussex","17","120"
"Black","Westminster","25","333"
"Black","Wigan","56","16"
"Black","Wiltshire","18","38"
"Black","Windsor and Maidenhead","24","29"
"Black","Wirral","50","8"
"Black","Wokingham","21","75"
"Black","Wolverhampton","9","221"
"Black","Worcestershire","!","20"
"Black","York","!","9"
"Chinese","All - England","53","1,987"
"Chinese","Barking and Dagenham","!","6"
"Chinese","Barnet","70","46"
"Chinese","Barnsley","N/A","0"
"Chinese","Bath and North East Somerset","!","!"
"Chinese","Bedford","!","3"
"Chinese","Bexley","58","40"
"Chinese","Birmingham","56","45"
"Chinese","Blackburn with Darwen","!","!"
"Chinese","Blackpool","!","5"
"Chinese","Bolton","43","7"
"Chinese","Bournemouth","!","7"
"Chinese","Bracknell Forest","!","4"
"Chinese","Bradford","!","!"
"Chinese","Brent","44","9"
"Chinese","Brighton and Hove","!","3"
"Chinese","Bristol, City of","27","15"
"Chinese","Bromley","64","36"
"Chinese","Buckinghamshire","67","18"
"Chinese","Bury","!","4"
"Chinese","Calderdale","!","4"
"Chinese","Cambridgeshire","50","30"
"Chinese","Camden","60","10"
"Chinese","Central Bedfordshire","40","10"
"Chinese","Cheshire East","53","15"
"Chinese","Cheshire West and Chester","63","8"
"Chinese","City of London","N/A","N/A"
"Chinese","Cornwall","!","!"
"Chinese","County Durham","50","6"
"Chinese","Coventry","56","9"
"Chinese","Croydon","62","21"
"Chinese","Cumbria","56","9"
"Chinese","Darlington","!","3"
"Chinese","Derby","38","8"
"Chinese","Derbyshire","21","14"
"Chinese","Devon","54","13"
"Chinese","Doncaster","40","10"
"Chinese","Dorset","46","11"
"Chinese","Dudley","!","4"
"Chinese","Ealing","!","5"
"Chinese","East Riding of Yorkshire","!","3"
"Chinese","East Sussex","56","9"
"Chinese","Enfield","65","20"
"Chinese","Essex","51","51"
"Chinese","Gateshead","!","!"
"Chinese","Gloucestershire","65","23"
"Chinese","Greenwich","54","24"
"Chinese","Hackney","58","12"
"Chinese","Halton","N/A","0"
"Chinese","Hammersmith and Fulham","50","6"
"Chinese","Hampshire","54","35"
"Chinese","Haringey","25","12"
"Chinese","Harrow","73","11"
"Chinese","Hartlepool","!","!"
"Chinese","Havering","55","11"
"Chinese","Herefordshire, County of","!","4"
"Chinese","Hertfordshire","65","63"
"Chinese","Hillingdon","42","12"
"Chinese","Hounslow","!","5"
"Chinese","Isle of Wight","!","3"
"Chinese","Isles of Scilly","N/A","0"
"Chinese","Islington","!","!"
"Chinese","Kensington and Chelsea","!","!"
"Chinese","Kent","66","64"
"Chinese","Kingston upon Hull, City of","!","!"
"Chinese","Kingston upon Thames","70","23"
"Chinese","Kirklees","50","10"
"Chinese","Knowsley","!","!"
"Chinese","Lambeth","60","15"
"Chinese","Lancashire","38","32"
"Chinese","Leeds","32","28"
"Chinese","Leicester","!","3"
"Chinese","Leicestershire","46","22"
"Chinese","Lewisham","49","37"
"Chinese","Lincolnshire","64","33"
"Chinese","Liverpool","53","45"
"Chinese","Luton","!","4"
"Chinese","Manchester","35","43"
"Chinese","Medway","73","11"
"Chinese","Merton","!","6"
"Chinese","Middlesbrough","N/A","0"
"Chinese","Milton Keynes","33","15"
"Chinese","Newcastle upon Tyne","46","13"
"Chinese","Newham","27","11"
"Chinese","Norfolk","28","25"
"Chinese","North East Lincolnshire","!","!"
"Chinese","North Lincolnshire","100","4"
"Chinese","North Somerset","!","6"
"Chinese","North Tyneside","67","9"
"Chinese","North Yorkshire","62","13"
"Chinese","Northamptonshire","55","20"
"Chinese","Northumberland","!","6"
"Chinese","Nottingham","!","8"
"Chinese","Nottinghamshire","60","25"
"Chinese","Oldham","43","7"
"Chinese","Oxfordshire","31","26"
"Chinese","Peterborough","50","8"
"Chinese","Plymouth","31","13"
"Chinese","Poole","!","5"
"Chinese","Portsmouth","!","7"
"Chinese","Reading","!","21"
"Chinese","Redbridge","70","20"
"Chinese","Redcar and Cleveland","!","!"
"Chinese","Richmond upon Thames","67","12"
"Chinese","Rochdale","!","!"
"Chinese","Rotherham","!","8"
"Chinese","Rutland","N/A","0"
"Chinese","Salford","50","6"
"Chinese","Sandwell","!","5"
"Chinese","Sefton","50","8"
"Chinese","Sheffield","44","18"
"Chinese","Shropshire","50","8"
"Chinese","Slough","!","5"
"Chinese","Solihull","30","10"
"Chinese","Somerset","27","11"
"Chinese","South Gloucestershire","!","6"
"Chinese","South Tyneside","N/A","0"
"Chinese","Southampton","56","9"
"Chinese","Southend-on-Sea","64","22"
"Chinese","Southwark","59","34"
"Chinese","St. Helens","!","4"
"Chinese","Staffordshire","40","20"
"Chinese","Stockport","31","16"
"Chinese","Stockton-on-Tees","!","!"
"Chinese","Stoke-on-Trent","44","9"
"Chinese","Suffolk","!","4"
"Chinese","Sunderland","100","3"
"Chinese","Surrey","64","44"
"Chinese","Sutton","73","41"
"Chinese","Swindon","40","10"
"Chinese","Tameside","33","12"
"Chinese","Telford and Wrekin","44","9"
