"Title","EBacc achievement by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"New grouping","Ethnicity","%","Pupils"
"Non-FSM boys","All","21","238,526"
"Non-FSM boys","Asian","27","21,835"
"Non-FSM boys","Bangladeshi","25","2,972"
"Non-FSM boys","Indian","36","6,782"
"Non-FSM boys","Pakistani","18","8,163"
"Non-FSM boys","Asian other","32","3,918"
"Non-FSM boys","Black","18","10,594"
"Non-FSM boys","Black African","21","6,594"
"Non-FSM boys","Black Caribbean","11","2,710"
"Non-FSM boys","Black other","15","1,290"
"Non-FSM boys","Chinese","45","966"
"Non-FSM boys","Mixed","25","9,414"
"Non-FSM boys","Mixed White/Asian","33","2,180"
"Non-FSM boys","Mixed White/Black African","23","1,079"
"Non-FSM boys","Mixed White/Black Caribbean","16","2,798"
"Non-FSM boys","Mixed other","27","3,357"
"Non-FSM boys","White","21","190,070"
"Non-FSM boys","White British","20","177,753"
"Non-FSM boys","White Irish","32","768"
"Non-FSM boys","White Irish Traveller","!","26"
"Non-FSM boys","White Gypsy/Roma","!","377"
"Non-FSM boys","White other","25","11,146"
"Non-FSM boys","Other","29","3,182"
"Non-FSM boys","Unknown","19","2,465"
"Non-FSM Girls","All","33","229,635"
"Non-FSM Girls","Asian","41","20,365"
"Non-FSM Girls","Bangladeshi","39","2,886"
"Non-FSM Girls","Indian","50","6,222"
"Non-FSM Girls","Pakistani","31","7,735"
"Non-FSM Girls","Asian other","49","3,522"
"Non-FSM Girls","Black","32","10,786"
"Non-FSM Girls","Black African","36","6,669"
"Non-FSM Girls","Black Caribbean","25","2,817"
"Non-FSM Girls","Black other","30","1,300"
"Non-FSM Girls","Chinese","61","930"
"Non-FSM Girls","Mixed","36","9,214"
"Non-FSM Girls","Mixed White/Asian","45","2,177"
"Non-FSM Girls","Mixed White/Black African","35","1,079"
"Non-FSM Girls","Mixed White/Black Caribbean","25","2,742"
"Non-FSM Girls","Mixed other","39","3,216"
"Non-FSM Girls","White","31","183,098"
"Non-FSM Girls","White British","31","171,125"
"Non-FSM Girls","White Irish","44","793"
"Non-FSM Girls","White Irish Traveller","!","23"
"Non-FSM Girls","White Gypsy/Roma","!","400"
"Non-FSM Girls","White other","35","10,757"
"Non-FSM Girls","Other","39","2,913"
"Non-FSM Girls","Unknown","28","2,329"
"FSM Boys","All","8","37,080"
"FSM Boys","Asian","15","4,724"
"FSM Boys","Bangladeshi","20","1,267"
"FSM Boys","Indian","18","539"
"FSM Boys","Pakistani","11","2,396"
"FSM Boys","Asian other","20","522"
"FSM Boys","Black","11","3,317"
"FSM Boys","Black African","13","2,075"
"FSM Boys","Black Caribbean","5","838"
"FSM Boys","Black other","10","404"
"FSM Boys","Chinese","27","67"
"FSM Boys","Mixed","9","2,121"
"FSM Boys","Mixed White/Asian","9","362"
"FSM Boys","Mixed White/Black African","11","275"
"FSM Boys","Mixed White/Black Caribbean","5","816"
"FSM Boys","Mixed other","14","668"
"FSM Boys","White","5","25,284"
"FSM Boys","White British","5","23,654"
"FSM Boys","White Irish","9","115"
"FSM Boys","White Irish Traveller","!","41"
"FSM Boys","White Gypsy/Roma","!","157"
"FSM Boys","White other","15","1,317"
"FSM Boys","Other","19","1,060"
"FSM Boys","Unknown","7","507"
"FSM Girls","All","13","35,448"
"FSM Girls","Asian","25","4,294"
"FSM Girls","Bangladeshi","28","1,194"
"FSM Girls","Indian","31","503"
"FSM Girls","Pakistani","20","2,140"
"FSM Girls","Asian other","32","457"
"FSM Girls","Black","21","3,227"
"FSM Girls","Black African","26","2,011"
"FSM Girls","Black Caribbean","14","851"
"FSM Girls","Black other","17","365"
"FSM Girls","Chinese","57","63"
"FSM Girls","Mixed","15","2,119"
"FSM Girls","Mixed White/Asian","16","370"
"FSM Girls","Mixed White/Black African","17","254"
"FSM Girls","Mixed White/Black Caribbean","11","804"
"FSM Girls","Mixed other","18","691"
"FSM Girls","White","9","24,311"
"FSM Girls","White British","8","22,784"
"FSM Girls","White Irish","12","98"
"FSM Girls","White Irish Traveller","!","32"
"FSM Girls","White Gypsy/Roma","!","173"
"FSM Girls","White other","21","1,224"
"FSM Girls","Other","27","964"
"FSM Girls","Unknown","12","470"
