"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"Selective schools","76","72","79","80","74","85","79","73","84","84","80","88","80","77","83","74","71","77"
"Non-selective schools in highly selective areas","14","10","19","19","13","26","21","11","31","25","29","20","15","10","20","14","10","18"
"Non-selective schools in other areas (inc. low selective areas)","24","18","29","28","22","36","22","16","28","47","37","56","25","20","30","23","18","28"
"All state-funded mainstream schools","25","20","30","32","25","39","23","17","30","52","44","61","27","22","32","24","19","29"
