"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All SEN","5","4","7","7","5","8","5","3","7","12","10","15","6","5","8","5","4","7"
"No identified SEN","28","23","33","35","28","41","26","20","33","55","47","63","31","26","35","27","22","32"
"SEN Support","6","5","8","8","6","10","6","!","!","12","!","!","7","6","9","6","4","8"
"SEN with a statement or EHC plan","2","2","2","3","3","3","2","!","!","13","!","!","2","2","4","2","2","2"
