"Ethnicity","%","Pupils"
"All","25","540,689"
"Asian","31","51,218"
"Bangladeshi","29","8,319"
"Indian","41","14,046"
"Pakistani","22","20,434"
"Asian other","38","8,419"
"Black","23","27,924"
"Black African","26","17,349"
"Black Caribbean","16","7,216"
"Black other","20","3,359"
"Chinese","52","2,026"
"Mixed","27","22,868"
"Mixed White/Asian","35","5,089"
"Mixed White/Black African","26","2,687"
"Mixed White/Black Caribbean","18","7,160"
"Mixed other","30","7,932"
"White","24","422,763"
"White British","23","395,316"
"White Irish","35","1,774"
"White Irish Traveller","3","122"
"White Gypsy/Roma","1","1,107"
"White other","28","24,444"
"Other","31","8,119"
"Unknown","21","5,771"
