"Title","EBacc achievement by ethnicity and area "
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local authority","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All - England","25","537,808","32","50,541","23","27,589","53","1,987","27","22,753","24","421,440"
"Barking and Dagenham","22","2,201","30","398","25","551","!","6","15","141","19","1,051"
"Barnet","44","3,647","63","512","30","489","70","46","45","363","42","1,835"
"Barnsley","18","2,088","!","6","20","15","N/A","0","29","35","18","2,018"
"Bath and North East Somerset","33","2,022","25","24","13","24","!","!","28","74","34","1,863"
"Bedford","18","1,862","15","273","11","109","!","3","16","143","19","1,308"
"Bexley","29","3,192","48","207","42","532","58","40","29","161","24","2,183"
"Birmingham","25","12,035","25","4,580","21","1,489","56","45","25","834","24","4,492"
"Blackburn with Darwen","25","1,754","35","735","!","15","!","!","23","61","16","922"
"Blackpool","9","1,331","21","19","!","9","!","5","!","24","9","1,270"
"Bolton","20","3,240","38","611","13","124","43","7","16","88","16","2,354"
"Bournemouth","28","1,617","53","40","29","17","!","7","37","73","27","1,429"
"Bracknell Forest","22","1,076","!","41","27","26","!","4","27","49","22","946"
"Bradford","17","5,859","16","2,482","12","81","!","!","16","218","18","2,979"
"Brent","32","3,035","40","900","19","767","44","9","25","158","28","579"
"Brighton and Hove","25","2,139","24","82","12","41","!","3","28","181","25","1,802"
"Bristol, City of","18","3,138","21","253","11","282","27","15","19","209","18","2,316"
"Bromley","36","3,305","59","167","34","272","64","36","39","229","36","2,419"
"Buckinghamshire","37","5,622","37","855","29","132","67","18","35","312","37","4,220"
"Bury","27","2,060","30","244","25","36","!","4","28","101","26","1,636"
"Calderdale","25","2,524","21","375","35","20","!","4","17","93","26","2,021"
"Cambridgeshire","27","5,707","34","190","20","56","50","30","33","194","26","5,139"
"Camden","28","1,422","26","272","20","345","60","10","25","142","34","549"
"Central Bedfordshire","20","2,596","39","46","32","44","40","10","26","103","19","2,376"
"Cheshire East","27","3,740","21","62","!","13","53","15","27","93","27","3,509"
"Cheshire West and Chester","30","3,443","30","37","!","12","63","8","32","72","30","3,283"
"City of London","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cornwall","19","5,432","19","21","!","9","!","!","22","99","19","5,232"
"County Durham","25","4,979","42","33","50","6","50","6","36","42","25","4,846"
"Coventry","21","3,463","31","660","21","276","56","9","16","181","18","2,275"
"Croydon","24","3,844","34","453","19","1,124","62","21","24","424","26","1,534"
"Cumbria","22","5,134","32","31","23","13","56","9","38","53","22","4,987"
"Darlington","24","1,139","19","21","!","!","!","3","!","15","24","1,086"
"Derby","20","2,787","27","482","6","85","38","8","17","166","19","2,015"
"Derbyshire","19","7,628","21","75","!","19","21","14","16","161","19","7,297"
"Devon","23","6,971","42","26","29","14","54","13","26","95","23","6,726"
"Doncaster","16","3,026","17","77","23","35","40","10","20","61","16","2,808"
"Dorset","24","4,153","24","46","!","9","46","11","23","80","24","3,933"
"Dudley","17","3,591","21","298","20","70","!","4","16","183","17","2,974"
"Ealing","35","2,781","34","747","25","574","!","5","39","195","42","826"
"East Riding of Yorkshire","22","3,346","42","12","!","!","!","3","15","46","21","3,222"
"East Sussex","22","4,930","37","60","23","31","56","9","22","166","21","4,532"
"Enfield","31","3,579","53","313","24","879","65","20","30","324","30","1,754"
"Essex","23","14,607","58","337","39","333","51","51","30","541","22","13,142"
"Gateshead","25","1,913","46","35","21","14","!","!","40","20","25","1,810"
"Gloucestershire","27","6,385","54","146","11","63","65","23","28","195","26","5,882"
"Greenwich","27","2,204","41","207","27","604","54","24","32","208","22","1,071"
"Hackney","33","2,038","38","272","27","719","58","12","34","193","37","687"
"Halton","33","1,373","!","!","!","!","N/A","0","56","25","32","1,335"
"Hammersmith and Fulham","41","1,350","40","116","22","333","50","6","39","133","51","624"
"Hampshire","26","13,101","36","333","17","115","54","35","30","350","26","12,110"
"Haringey","28","2,231","37","127","17","639","25","12","32","253","32","1,005"
"Harrow","33","2,127","39","900","24","344","73","11","28","163","30","610"
"Hartlepool","14","1,068","21","14","!","5","!","!","!","8","14","1,036"
"Havering","28","2,917","38","117","28","362","55","11","32","127","27","2,237"
"Herefordshire, County of","23","1,732","!","5","!","5","!","4","28","25","23","1,681"
"Hertfordshire","33","12,613","43","849","32","447","65","63","32","702","32","10,336"
"Hillingdon","26","3,136","37","751","22","327","42","12","26","299","21","1,479"
"Hounslow","37","2,667","44","696","30","344","!","5","43","224","37","951"
"Isle of Wight","13","1,305","!","12","N/A","0","!","3","19","27","13","1,249"
"Isles of Scilly","!","23","N/A","0","N/A","0","N/A","0","N/A","0","!","21"
"Islington","27","1,397","29","170","27","423","!","!","23","158","25","506"
"Kensington and Chelsea","38","740","46","26","27","148","!","!","38","113","43","297"
"Kent","30","15,727","54","526","40","303","66","64","40","536","28","14,022"
"Kingston upon Hull, City of","20","2,255","47","17","22","23","!","!","25","44","20","2,028"
"Kingston upon Thames","49","1,515","63","343","32","73","70","23","58","115","42","871"
"Kirklees","22","4,534","23","1,139","15","85","50","10","16","225","22","3,029"
"Knowsley","11","1,147","!","!","!","!","!","!","24","21","10","1,103"
