"Gender","Ethnicity","%","Pupils"
"All","All","25","540,689"
"All","Asian","31","51,218"
"All","Bangladeshi","29","8,319"
"All","Indian","41","14,046"
"All","Pakistani","22","20,434"
"All","Asian other","38","8,419"
"All","Black","23","27,924"
"All","Black African","26","17,349"
"All","Black Caribbean","16","7,216"
"All","Black other","20","3,359"
"All","Chinese","52","2,026"
"All","Mixed","27","22,868"
"All","Mixed White/Asian","35","5,089"
"All","Mixed White/Black African","26","2,687"
"All","Mixed White/Black Caribbean","18","7,160"
"All","Mixed other","30","7,932"
"All","White","24","422,763"
"All","White British","23","395,316"
"All","White Irish","35","1,774"
"All","White Irish Traveller","3","122"
"All","White Gypsy/Roma","1","1,107"
"All","White other","28","24,444"
"All","Other","31","8,119"
"All","Unknown","21","5,771"
"Boys","All","20","275,606"
"Boys","Asian","25","26,559"
"Boys","Bangladeshi","23","4,239"
"Boys","Indian","35","7,321"
"Boys","Pakistani","17","10,559"
"Boys","Asian other","30","4,440"
"Boys","Black","16","13,911"
"Boys","Black African","19","8,669"
"Boys","Black Caribbean","10","3,548"
"Boys","Black other","14","1,694"
"Boys","Chinese","44","1,033"
"Boys","Mixed","22","11,535"
"Boys","Mixed White/Asian","30","2,542"
"Boys","Mixed White/Black African","21","1,354"
"Boys","Mixed White/Black Caribbean","13","3,614"
"Boys","Mixed other","25","4,025"
"Boys","White","19","215,354"
"Boys","White British","19","201,407"
"Boys","White Irish","29","883"
"Boys","White Irish Traveller","!","67"
"Boys","White Gypsy/Roma","!","534"
"Boys","White other","24","12,463"
"Boys","Other","26","4,242"
"Boys","Unknown","17","2,972"
"Girls","All","30","265,083"
"Girls","Asian","38","24,659"
"Girls","Bangladeshi","36","4,080"
"Girls","Indian","49","6,725"
"Girls","Pakistani","29","9,875"
"Girls","Asian other","47","3,979"
"Girls","Black","30","14,013"
"Girls","Black African","33","8,680"
"Girls","Black Caribbean","22","3,668"
"Girls","Black other","27","1,665"
"Girls","Chinese","60","993"
"Girls","Mixed","32","11,333"
"Girls","Mixed White/Asian","41","2,547"
"Girls","Mixed White/Black African","31","1,333"
"Girls","Mixed White/Black Caribbean","22","3,546"
"Girls","Mixed other","35","3,907"
"Girls","White","29","207,409"
"Girls","White British","29","193,909"
"Girls","White Irish","40","891"
"Girls","White Irish Traveller","!","55"
"Girls","White Gypsy/Roma","!","573"
"Girls","White other","33","11,981"
"Girls","Other","36","3,877"
"Girls","Unknown","25","2,799"
