"Title","Employment tribunal claims by ethnicity"
"Location","England, Wales and Scotland "
"Time period","2007 and 2012"
"Data source","Survey of Employment Tribunals Applications (SETA), 2008 and 2013 https://www.gov.uk/government/publications/survey-of-employment-tribunal-applications-2013"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Time","time type","Ethnicity","employment tribunal jurisdiction","All","Unfair dismissal","Breach of conduct","Wages Act","Discrimination","Other"
"2007","Year","white","all","86","91","86","82","75","91"
"2007","Year","Black/African/Caribbean/Black British","all","5","4","4","5","8","3"
"2007","Year","Asian/Asian British","all","5","3","4","5","11","3"
"2007","Year","Mixed/Multiple ethnic group","all","2","**","2","3","3","2"
"2007","Year","Other ethnic group","all","2","**","2","2","3","**"
"2007","Year","Unreported","all","**","**","**","3","2","**"
"2012","Year","white","all","82","85","81","85","73","88"
"2012","Year","Black/African/Caribbean/Black British","all","7","7","8","6","12","4"
"2012","Year","Asian/Asian British","all","5","5","5","3","9","3"
"2012","Year","Mixed/Multiple ethnic group","all","2","**","3","3","3","**"
"2012","Year","Other ethnic group","all","**","**","**","**","**","4"
"2012","Year","Unreported","all","2","**","2","3","2","**"
