"Region","Ethnicity","%"
"All","White","88"
"All","Other","7"
"All","Unknown","5"
"London","White","84"
"London","Other","14"
"London","Unknown","3"
"Midlands & East","White","88"
"Midlands & East","Other","7"
"Midlands & East","Unknown","5"
"North","White","90"
"North","Other","6"
"North","Unknown","4"
"South","White","90"
"South","Other","4"
"South","Unknown","6"
