"","All","Asian","Black","Mixed","White","Other"
"","","","","","",""
"All","3%","5%","7%","5%","3%","5%"
"Level 4 and above","3%","4%","6%","4%","2%","5%"
"Level 3","3%","8%","7%","4%","3%","3%"
"Level 2","4%","7%","9%","8%","4%","7%"
"Below Level 2","5%","8%","7%","9%","4%","6%"
"Other qualifications","3%","4%","6%","?","3%","4%"
"No qualifications","5%","4%","6%","4%","5%","4%"
