"","All","Asian","Black","Mixed","White","Other"
"","","","","","",""
"All","3%","5%","7%","5%","3%","3%"
"Level 4 and above","2%","5%","7%","4%","2%","3%"
"Level 3","3%","7%","8%","3%","3%","2%"
"Level 2","3%","8%","6%","6%","3%","4%"
"Below Level 2","4%","7%","8%","?","4%","?"
"Other qualifications","3%","3%","7%","?","3%","3%"
"No qualifications","4%","3%","6%","?","4%","2%"
