"Ethnicity","%","No. of respondents"
"All","9","36,461"
"Asian","20","3,087"
"Black","20","1,265"
"Mixed","9","407"
"White","8","29,799"
"White British","8","28,130"
"White other","8","1,669"
"Other","20","226"
