"Ethnicity","%","No. of respondents"
"All","34","20,118"
"Asian","28","3,767"
"Black","31","1,115"
"Mixed","32","280"
"White","35","13,837"
"White British","35","12,975"
"White other","39","862"
"Other","27","246"
