"Title","People living in persistent low income households, after housing costs, by ethnicity and age group"
"Location","UK"
"Time period","2011/12 to 2014/15"
"Data source","Income Dynamics (experimental)"
"Data source link","https://www.gov.uk/government/statistics/income-dynamics-experimental"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","All","Children","Working-age adults","Pensioners"
"Ethnicity","%","%","%","%"
"Asian","22","31","20","5"
"Black","25","31","22","?"
"Mixed","17","22","16","?"
"White British","11","15","10","8"
"White other","15","18","14","10"
"Other","31","?","29","?"
