"Ethnicity","%","No. of respondents"
"All","5","106,684"
"Asian","9","7,352"
"Black","8","3,499"
"Mixed","5","1,244"
"White","5","88,642"
"White British","5","83,568"
"White other","6","5,074"
"Other","11","598"
