""," Bottom quintile (lowest income) "," Second lowest quintile  "," Middle quintile "," Second highest quintile "," Top quintile (highest income)   "
"Ethnicity","%","%","%","%","%"
"Asian","33","25","17","13","13"
"Black","40","22","18","13","7"
"Mixed","29","16","24","15","16"
"White","18","20","20","21","21"
"White British","17","20","21","21","21"
"White other","26","19","17","17","20"
"Other","42","19","12","12","15"
