"","All","Men","Women"
"Ethnicity","","",""
"Asian","3.4","5.9","0.4"
"Black","11.7","14.3","9.7"
"Mixed other","7.2","8.5","6.1"
"White British","8.9","11.8","6.2"
"White other","9.2","11.7","6.9"
