"Title"," Percentage of apprenticeship starts, compared with the overall population by ethnicity"
"Location","England"
"Time period","2016/17"
"Data source","FE data library: apprenticeships"
"Data source link","https://www.gov.uk/government/statistical-data-sets/fe-data-library-apprenticeships"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Grouping","Ethnicity","%"
"Apprentices","Asian","4.4"
"Apprentices","Black","3.7"
"Apprentices","Mixed","2.2"
"Apprentices","White","87.7"
"Apprentices","Other","0.8"
"Population (2016 estimate)","Asian","8.0"
"Population (2016 estimate)","Black","3.6"
"Population (2016 estimate)","Mixed","2.6"
"Population (2016 estimate)","White","84.8"
"Population (2016 estimate)","Other","1.1"
