"","Higher managerial and professional","Lower managerial and professional","Intermediate occupations","Small employers and own account workers","Lower supervisory and technical","Semi-routine occupations","Routine occupations","Never worked, unemployed, and nec"
"Ethnicity","","","","","","","",""
"All","7.84","7.74","7.64","7.61","7.60","7.43","7.39","7.48"
"Bangladeshi","7.60","7.48","7.50","7.85","7.81","6.98","7.54","7.60"
"Chinese","7.66","7.53","7.48","7.80","?","7.31","?","7.78"
"Indian","7.82","7.70","7.59","7.57","7.52","7.58","7.66","7.63"
"Pakistani","7.76","7.70","7.47","7.34","7.60","7.60","7.16","7.47"
"Asian other","7.96","7.60","7.55","7.32","7.40","7.73","7.55","7.49"
"Black","7.46","7.13","6.99","7.12","7.03","6.91","6.94","7.11"
"Mixed","7.55","7.38","7.22","7.15","7.28","7.26","7.10","7.13"
"White","7.86","7.77","7.67","7.64","7.62","7.45","7.41","7.49"
"Other","7.78","7.44","7.45","7.50","7.62","7.35","7.50","7.43"
"Arab","7.70","7.63","?","?","?","6.88","?","7.31"
"Gypsy / Traveller / Irish Traveller","?","?","?","?","?","?","?","?"
