"","All","","Male ","","Female",""
"Ethnicity","%","Number","%","Number","%","Number"
"Asian","29"," 5,056 ","28"," 2,528 ","30"," 2,528 "
"Black","26"," 2,647 ","23"," 1,118 ","28"," 1,529 "
"Mixed","23","991","23","411","23","580"
"White","18"," 92,447 ","18"," 42,015 ","18"," 50,432 "
"Other","26","687","26","360","27","327"
