"Title","Feeling the things you do in your life are worthwhile, by ethnicity and gender"
"Location","UK"
"Time period","2013 to 2015 combined"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeingworthwhile"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","Female","Male"
"Ethnicity","",""
"All","7.92","7.68"
"Bangladeshi","7.90","7.52"
"Chinese","7.74","7.65"
"Indian","7.83","7.79"
"Pakistani","7.87","7.68"
"Asian other","7.83","7.67"
"Black","7.72","7.54"
"Mixed","7.76","7.46"
"White","7.94","7.69"
"Other","7.76","7.57"
"Arab","7.67","7.51"
"Gypsy / Traveller / Irish Traveller","?","?"
