"Threshold","Ethnicity",""
"Very High (9-10)","All","34.9"
"Very High (9-10)","Bangladeshi","30.9"
"Very High (9-10)","Chinese","26.0"
"Very High (9-10)","Indian","33.8"
"Very High (9-10)","Pakistani","35.9"
"Very High (9-10)","Asian other","33.9"
"Very High (9-10)","Black","33.3"
"Very High (9-10)","Mixed","32.0"
"Very High (9-10)","White","35.2"
"Very High (9-10)","Other","33.0"
"Very High (9-10)","Arab","33.4"
"Very High (9-10)","Gypsy / Traveller / Irish Traveller","?"
"High (7-8)","All","49.0"
"High (7-8)","Bangladeshi","45.6"
"High (7-8)","Chinese","58.2"
"High (7-8)","Indian","51.7"
"High (7-8)","Pakistani","46.8"
"High (7-8)","Asian other","49.0"
"High (7-8)","Black","44.0"
"High (7-8)","Mixed","48.7"
"High (7-8)","White","49.1"
"High (7-8)","Other","48.8"
"High (7-8)","Arab","48.7"
"High (7-8)","Gypsy / Traveller / Irish Traveller","?"
"Medium (5-6)","All","12.5"
"Medium (5-6)","Bangladeshi","20.1"
"Medium (5-6)","Chinese","14.4"
"Medium (5-6)","Indian","12.5"
"Medium (5-6)","Pakistani","13.1"
"Medium (5-6)","Asian other","14.3"
"Medium (5-6)","Black","18.3"
"Medium (5-6)","Mixed","15.7"
"Medium (5-6)","White","12.1"
"Medium (5-6)","Other","15.5"
"Medium (5-6)","Arab","13.2"
"Medium (5-6)","Gypsy / Traveller / Irish Traveller","?"
"Low (0-4)","All","3.6"
"Low (0-4)","Bangladeshi","?"
"Low (0-4)","Chinese","?"
"Low (0-4)","Indian","2.1"
"Low (0-4)","Pakistani","4.2"
"Low (0-4)","Asian other","?"
"Low (0-4)","Black","4.4"
"Low (0-4)","Mixed","3.6"
"Low (0-4)","White","3.7"
"Low (0-4)","Other","?"
"Low (0-4)","Arab","?"
"Low (0-4)","Gypsy / Traveller / Irish Traveller","?"
