"Title","Visits to the natural environment in the previous 12 months by ethnicity"
"Location","England"
"Time period","2009 to 2016 (combined)"
"Data source","Monitor of Engagement with the Natural Environment https://www.gov.uk/government/statistics/monitor-of-engagement-with-the-natural-environment-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Frequency","Value","Ethnicity"
"At least once a week","58.40%","White"
"Less often","33.50%","White"
"Never","8.10%","White"
"At least once a week","39.90%","Other"
"Less often","46.90%","Other"
"Never","13.20%","Other"
"At least once a week","55.80%","All"
"Less often","-","All"
"Never","-","All"
