"Title","Visits to the natural environment in the previous 7 days by ethnicity"
"Location","England"
"Time period","2009 to 2016 (combined)"
"Data source","Monitor of Engagement with the Natural Environment https://www.gov.uk/government/statistics/monitor-of-engagement-with-the-natural-environment-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Value","Order"
"White","44.2","6"
"Mixed","38.8","5"
"Asian","25.7","2"
"Black","26.2","3"
"Chinese","27.6","4"
"Other","30.2","7"
"Unknown","37.1","8"
"All","41.9","1"
