"Title","Visits to the natural environment in the previous 7 days by ethnicity and socio-economic group"
"Location","England"
"Time period","2009 to 2016 (combined)"
"Data source","Monitor of Engagement with the Natural Environment https://www.gov.uk/government/statistics/monitor-of-engagement-with-the-natural-environment-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Socio-economic group","Value","Ethnicity"
"Higher and intermediate managerial","54.70%","White"
"Supervisory and junior managerial","46.80%","White"
"Skilled manual workers","41.70%","White"
"Semi and unskilled manual workers","32.70%","White"
"Higher and intermediate managerial","35.00%","Other"
"Supervisory and junior managerial","28.40%","Other"
"Skilled manual workers","24.40%","Other"
"Semi and unskilled manual workers","22.60%","Other"
