"Title","Visits to the natural environment in the previous 7 days by ethnicity and location"
"Location","England"
"Time period","2009 to 2016 (combined)"
"Data source","Monitor of Engagement with the Natural Environment https://www.gov.uk/government/statistics/monitor-of-engagement-with-the-natural-environment-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Location","Value","Ethnicity"
"Urban","42.70%","White"
"Rural","50.80%","White"
"Urban","27.00%","Other"
"Rural","40.30%","Other"
