"Title","Civil Service pay"
"Location","UK"
"Time period","2018"
"Data source","Cabinet Office"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Grade","Geography","Geography_type","Value","Value_type","Headcount","Note"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior and higher executive officer","UK","UK","34,000","£","3,710",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Grades 6 & 7","UK","UK","54,200","£","1,090",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior Civil Service","UK","UK","88,900","£","120",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Unknown grade","UK","UK","27,500","£","160",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Administrative officers and assistants","UK","UK","21,500","£","4,200",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Executive officer","UK","UK","26,600","£","3,360",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior and higher executive officer","UK","UK","34,200","£","1,970",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Grades 6 & 7","UK","UK","55,900","£","470",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior Civil Service","UK","UK","88,900","£","50",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Unknown grade","UK","UK","28,500","£","160",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Administrative officers and assistants","UK","UK","19,300","£","300",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Executive officer","UK","UK","25,800","£","230",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior and higher executive officer","UK","UK","34,700","£","240",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Grades 6 & 7","UK","UK","54,000","£","100",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior Civil Service","UK","UK","87,600","£","10",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Unknown grade","UK","UK","31,700","£","10",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Administrative officers and assistants","UK","UK","19,300","£","1,560",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Executive officer","UK","UK","25,300","£","1,140",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior and higher executive officer","UK","UK","33,900","£","1,110",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Grades 6 & 7","UK","UK","54,500","£","490",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior Civil Service","UK","UK","76,400","£","40",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Unknown grade","UK","UK","31,100","£","70",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Administrative officers and assistants","UK","UK","19,300","£","117,410",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Executive officer","UK","UK","25,000","£","80,330",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior and higher executive officer","UK","UK","33,100","£","73,430",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Grades 6 & 7","UK","UK","54,000","£","28,120",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior Civil Service","UK","UK","80,700","£","3,480",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Unknown grade","UK","UK","29,300","£","2,790",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Administrative officers and assistants","UK","UK","19,600","£","570",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Executive officer","UK","UK","25,300","£","630",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior and higher executive officer","UK","UK","34,400","£","500",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Grades 6 & 7","UK","UK","55,600","£","290",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior Civil Service","UK","UK","91,100","£","40",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Unknown grade","UK","UK","!","£","!","suppressed due to small headcount"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Administrative officers and assistants","UK","UK","18,800","£","36,640",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Executive officer","UK","UK","25,000","£","20,600",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior and higher executive officer","UK","UK","33,300","£","20,540",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Grades 6 & 7","UK","UK","54,100","£","9,010",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior Civil Service","UK","UK","82,200","£","1,210",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Unknown grade","UK","UK","29,600","£","9,630",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Administrative officers and assistants","UK","UK","19,500","£","153,830",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Executive officer","UK","UK","25,200","£","109,620",""
