"Title","Civil Service pay"
"Location","UK"
"Time period","2018"
"Data source","Cabinet Office"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Grade","Geography","Geography_type","Value","Value_type","Headcount","Note"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior and higher executive officer","UK","UK","33,700","£","69,990",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Grades 6 & 7","UK","UK","54,500","£","29,690",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior Civil Service","UK","UK","80,800","£","3,750",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Unknown grade","UK","UK","29,600","£","5,660",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Administrative officers and assistants","UK","UK","20,400","£","530",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Executive officer","UK","UK","26,200","£","480",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior and higher executive officer","UK","UK","35,200","£","430",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Grades 6 & 7","UK","UK","55,200","£","240",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior Civil Service","UK","UK","81,400","£","20",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Unknown grade","UK","UK","31,700","£","50",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Administrative officers and assistants","UK","UK","19,200","£","37,430",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Executive officer","UK","UK","25,300","£","22,990",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior and higher executive officer","UK","UK","33,800","£","20,690",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Grades 6 & 7","UK","UK","54,500","£","8,860",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior Civil Service","UK","UK","82,800","£","1,070",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Unknown grade","UK","UK","30,200","£","7,210",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Administrative officers and assistants","UK","UK","20,000","£","148,280",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Executive officer","UK","UK","25,600","£","110,100",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior and higher executive officer","UK","UK","33,900","£","106,150",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Grades 6 & 7","UK","UK","54,700","£","45,610",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior Civil Service","UK","UK","81,500","£","5,500",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Unknown grade","UK","UK","30,500","£","14,440",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Administrative officers and assistants","UK","UK","20,200","£","7,150",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Executive officer","UK","UK","26,900","£","6,560",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior and higher executive officer","UK","UK","34,000","£","4,670",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Grades 6 & 7","UK","UK","54,800","£","1,540",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior Civil Service","UK","UK","86,700","£","190",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Unknown grade","UK","UK","30,700","£","370",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Administrative officers and assistants","UK","UK","22,500","£","3,480",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Executive officer","UK","UK","27,500","£","3,490",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior and higher executive officer","UK","UK","34,700","£","2,350",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Grades 6 & 7","UK","UK","55,400","£","650",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior Civil Service","UK","UK","90,000","£","50",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Unknown grade","UK","UK","30,600","£","330",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Administrative officers and assistants","UK","UK","19,700","£","280",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Executive officer","UK","UK","26,600","£","230",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior and higher executive officer","UK","UK","34,800","£","300",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Grades 6 & 7","UK","UK","55,500","£","130",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior Civil Service","UK","UK","88,400","£","10",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Unknown grade","UK","UK","30,200","£","20",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Administrative officers and assistants","UK","UK","20,100","£","1,390",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Executive officer","UK","UK","26,100","£","1,280",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior and higher executive officer","UK","UK","34,500","£","1,370",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Grades 6 & 7","UK","UK","54,100","£","690",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior Civil Service","UK","UK","80,000","£","60",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Unknown grade","UK","UK","32,300","£","170",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Administrative officers and assistants","UK","UK","20,000","£","93,470",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Executive officer","UK","UK","25,400","£","74,400",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior and higher executive officer","UK","UK","33,900","£","73,170",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Grades 6 & 7","UK","UK","54,900","£","31,820",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior Civil Service","UK","UK","81,000","£","3,920",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Unknown grade","UK","UK","30,500","£","6,510",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Administrative officers and assistants","UK","UK","20,600","£","510",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Executive officer","UK","UK","26,600","£","490",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior and higher executive officer","UK","UK","35,000","£","450",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Grades 6 & 7","UK","UK","56,000","£","240",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior Civil Service","UK","UK","77,100","£","20",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Unknown grade","UK","UK","29,700","£","30",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Administrative officers and assistants","UK","UK","19,700","£","42,000",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Executive officer","UK","UK","25,400","£","23,650",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior and higher executive officer","UK","UK","33,700","£","23,850",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Grades 6 & 7","UK","UK","54,100","£","10,540",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior Civil Service","UK","UK","82,400","£","1,250",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Unknown grade","UK","UK","30,500","£","7,010",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North East","Region","20,000","£","28,880",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North West","Region","23,000","£","52,150",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Yorkshire and The Humber","Region","24,300","£","33,260",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East Midlands","Region","23,300","£","20,080",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","West Midlands","Region","23,600","£","29,890",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East","Region","25,000","£","23,830",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","London","Region","31,600","£","79,020",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South East","Region","25,900","£","42,620",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South West","Region","28,700","£","44,240",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Wales","Region","23,200","£","30,800",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Scotland","Region","23,100","£","43,620",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Northern Ireland","Region","22,700","£","3,660",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Unknown","Region","30,500","£","2,500",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North East","Region","19,300","£","190",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North West","Region","19,700","£","1,150",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Yorkshire and The Humber","Region","20,000","£","1,250",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East Midlands","Region","19,300","£","1,210",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","West Midlands","Region","20,900","£","2,410",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East","Region","22,300","£","820",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","London","Region","27,100","£","9,520",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South East","Region","23,900","£","1,000",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South West","Region","27,900","£","390",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Wales","Region","21,000","£","190",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Scotland","Region","20,000","£","280",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Northern Ireland","Region","26,400","£","10",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Unknown","Region","25,000","£","10",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North East","Region","19,800","£","60",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North West","Region","20,000","£","350",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Yorkshire and The Humber","Region","23,000","£","320",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East Midlands","Region","21,000","£","290",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","West Midlands","Region","21,000","£","760",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East","Region","26,000","£","400",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","London","Region","26,800","£","7,060",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South East","Region","24,000","£","520",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South West","Region","24,700","£","230",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Wales","Region","23,000","£","80",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Scotland","Region","19,300","£","80",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Northern Ireland","Region","!","£","!","suppressed due to small headcount"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Unknown","Region","24,000","£","10",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North East","Region","19,400","£","30",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North West","Region","20,000","£","100",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Yorkshire and The Humber","Region","22,500","£","50",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East Midlands","Region","23,000","£","20",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","West Midlands","Region","25,200","£","30",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East","Region","31,700","£","60",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","London","Region","30,300","£","380",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South East","Region","23,800","£","90",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South West","Region","30,000","£","70",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Wales","Region","23,000","£","40",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Scotland","Region","19,600","£","30",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Northern Ireland","Region","!","£","!","suppressed due to small headcount"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Unknown","Region","N/A","£","0",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North East","Region","20,000","£","140",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North West","Region","21,500","£","400",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Yorkshire and The Humber","Region","23,000","£","270",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East Midlands","Region","22,000","£","200",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","West Midlands","Region","22,200","£","310",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East","Region","25,500","£","250",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","London","Region","30,300","£","1,670",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South East","Region","25,000","£","380",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South West","Region","29,200","£","340",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Wales","Region","23,000","£","190",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Scotland","Region","23,300","£","170",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Northern Ireland","Region","25,800","£","10",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Unknown","Region","31,700","£","10",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North East","Region","20,000","£","22,350",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North West","Region","23,200","£","39,120",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Yorkshire and The Humber","Region","24,600","£","24,550",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East Midlands","Region","23,900","£","13,880",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","West Midlands","Region","24,400","£","19,160",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East","Region","25,300","£","16,870",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","London","Region","35,500","£","39,390",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South East","Region","26,200","£","31,450",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South West","Region","29,200","£","34,150",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Wales","Region","23,800","£","24,390",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Scotland","Region","24,100","£","33,940",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Northern Ireland","Region","22,400","£","3,080",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Unknown","Region","27,300","£","440",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North East","Region","21,700","£","60",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North West","Region","23,100","£","130",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Yorkshire and The Humber","Region","24,100","£","110",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East Midlands","Region","24,100","£","70",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","West Midlands","Region","23,800","£","90",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East","Region","25,300","£","100",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","London","Region","31,900","£","950",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South East","Region","25,000","£","160",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South West","Region","29,100","£","140",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Wales","Region","20,900","£","90",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Scotland","Region","24,900","£","100",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Northern Ireland","Region","!","£","!","suppressed due to small headcount"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Unknown","Region","!","£","!","suppressed due to small headcount"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North East","Region","20,000","£","6,060",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North West","Region","22,000","£","10,910",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Yorkshire and The Humber","Region","24,100","£","6,730",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East Midlands","Region","23,000","£","4,420",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","West Midlands","Region","22,900","£","7,120",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East","Region","24,100","£","5,330",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","London","Region","32,800","£","20,270",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South East","Region","24,600","£","9,060",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South West","Region","25,000","£","8,630",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Wales","Region","20,700","£","5,820",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Scotland","Region","20,000","£","9,020",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Northern Ireland","Region","22,700","£","560",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Unknown","Region","30,800","£","2,020",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North East","Region","20,190","£","28,370",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North West","Region","23,200","£","51,690",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Yorkshire and The Humber","Region","24,700","£","31,360",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East Midlands","Region","24,000","£","19,420",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","West Midlands","Region","24,200","£","26,630",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East","Region","25,300","£","22,110",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","London","Region","33,000","£","78,230",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South East","Region","26,200","£","39,060",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South West","Region","28,300","£","37,110",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Wales","Region","23,600","£","31,170",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Scotland","Region","23,500","£","43,050",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Northern Ireland","Region","23,200","£","3,530",""
