"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils"
"County Durham","44.6","4,608","51.1","28","45.2","5","70.6","12","50.0","46","44.8","4,459"
"Darlington","45.3","1,066","!","23","!","!","!","!","!","22","45.2","998"
"Gateshead","46.8","1,909","52.1","45","40.1","10","60.9","7","58.7","26","46.3","1,784"
"Hartlepool","44.0","976","!","23","45.6","4","N/A","0","!","8","43.7","939"
"Middlesbrough","43.2","1,386","52.7","182","!","!","!","!","!","49","42.5","1,061"
"Newcastle upon Tyne","43.3","2,362","49.1","238","40.4","77","54.4","23","47.4","60","42.6","1,888"
"North Tyneside","47.0","1,959","49.6","34","33.9","9","60.7","17","53.3","33","46.8","1,845"
"Northumberland","44.7","3,145","46.8","39","49.8","4","56.3","6","50.6","40","44.6","3,046"
"Redcar and Cleveland","44.0","1,584","52.3","17","!","!","!","!","50.2","22","44.1","1,480"
"South Tyneside","43.0","1,500","48.2","53","44.9","4","46.3","3","47.2","20","43.0","1,388"
"Stockton-on-Tees","45.6","1,913","48.0","99","!","!","!","!","!","29","45.4","1,758"
"Sunderland","43.8","2,769","50.0","121","48.7","11","59.8","3","41.0","26","43.5","2,590"
"Blackburn with Darwen","46.4","1,746","50.3","764","39.3","20","51.6","4","44.5","54","43.3","890"
"Blackpool","38.8","1,190","53.6","21","18.8","3","53.4","4","40.0","18","38.6","1,134"
"Bolton","43.7","3,263","48.6","659","40.6","145","62.1","6","43.3","86","42.5","2,313"
"Bury","46.0","2,120","46.9","262","35.8","35","57.7","11","46.2","82","46.0","1,697"
"Cheshire East","48.9","3,582","53.9","56","47.7","12","67.8","12","48.9","89","48.8","3,378"
"Cheshire West and Chester","46.5","3,328","43.9","41","48.4","10","60.7","8","50.5","71","46.4","3,181"
"Cumbria","46.3","4,915","52.2","21","49.3","10","63.6","17","53.7","62","46.3","4,652"
"Halton","44.9","1,395","59.8","3","!","!","!","!","48.0","31","44.8","1,347"
"Knowsley","37.6","978","38.4","5","!","!","!","!","40.5","17","37.5","944"
