"","Non-FSM","","FSM",""
"","Score","Pupils","Score","Pupils"
"All","48.0"," 458,598 ","35.0"," 69,261 "
"Asian","51.1"," 43,963 ","43.3"," 8,824 "
"Bangladeshi","51.3"," 6,436 ","46.3"," 2,438 "
"Indian","56.1"," 12,952 ","46.5"," 1,016 "
"Pakistani","46.1"," 17,021 ","40.8"," 4,302 "
"Asian other","53.6"," 7,554 ","43.5"," 1,068 "
"Black","46.1"," 21,846 ","39.7"," 6,076 "
"Black African","48.2"," 13,689 ","42.1"," 3,777 "
"Black Caribbean","42.0"," 5,523 ","35.2"," 1,574 "
"Black other","44.2"," 2,634 ","37.2","725"
"Chinese","62.9"," 1,942 ","58.0","131"
"Mixed","49.3"," 19,186 ","36.7"," 4,297 "
"Mixed White/Asian","54.1"," 4,424 ","37.6","723"
"Mixed White/Black African","48.8"," 2,173 ","39.8","541"
"Mixed White/Black Caribbean","43.8"," 5,440 ","32.7"," 1,598 "
"Mixed other","50.7"," 7,149 ","39.6"," 1,435 "
"White","47.7"," 359,357 ","32.3"," 46,985 "
"White British","47.8"," 334,002 ","32.1"," 44,106 "
"White Irish","54.1"," 1,482 ","32.6","194"
"Gypsy/Roma","18.0","748","17.9","325"
"Irish traveller","29.3","52","19.4","66"
"White other","47.1"," 23,073 ","39.8"," 2,294 "
"Other","48.2"," 6,429 ","42.4"," 2,012 "
"Unknown","41.1"," 5,875 ","32.4","936"
