"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"County Durham","44.6","42.2","47.2","51.1","42.6","55.2","45.2","!","!","70.6","!","!","50.0","43.5","58.3","44.8","42.5","47.3"
"Darlington","45.3","43.0","47.4","!","!","!","!","N/A","!","!","!","!","!","!","!","45.2","42.9","47.4"
"Gateshead","46.8","44.0","49.7","52.1","52.2","52.0","40.1","41.8","39.4","60.9","58.8","63.8","58.7","57.6","59.6","46.3","43.6","49.2"
"Hartlepool","44.0","40.8","47.4","!","!","!","45.6","!","!","N/A","N/A","N/A","!","!","!","43.7","40.6","47.0"
"Middlesbrough","43.2","40.4","46.4","52.7","49.4","56.0","!","!","!","!","!","N/A","!","!","!","42.5","40.0","45.4"
"Newcastle upon Tyne","43.3","41.5","45.3","49.1","46.8","51.9","40.4","36.5","44.5","54.4","45.9","62.3","47.4","46.9","48.0","42.6","40.9","44.4"
"North Tyneside","47.0","43.9","50.3","49.6","44.2","53.5","33.9","28.8","44.2","60.7","56.2","68.9","53.3","52.8","53.8","46.8","43.6","50.2"
"Northumberland","44.7","41.8","47.7","46.8","45.1","48.4","49.8","N/A","49.8","56.3","56.3","56.3","50.6","57.6","46.4","44.6","41.6","47.7"
"Redcar and Cleveland","44.0","40.6","47.3","52.3","!","!","!","!","N/A","!","!","N/A","50.2","49.5","50.9","44.1","40.4","47.6"
"South Tyneside","43.0","40.5","45.7","48.2","52.9","45.4","44.9","!","!","46.3","!","!","47.2","!","!","43.0","40.4","45.8"
"Stockton-on-Tees","45.6","43.0","48.1","48.0","45.4","49.8","!","!","!","!","N/A","!","!","!","!","45.4","42.9","47.9"
"Sunderland","43.8","41.8","46.0","50.0","49.1","50.8","48.7","!","!","59.8","!","!","41.0","38.1","45.0","43.5","41.5","45.8"
"Blackburn with Darwen","46.4","44.3","48.5","50.3","47.2","53.7","39.3","!","!","51.6","!","!","44.5","!","!","43.3","41.5","44.9"
"Blackpool","38.8","35.9","41.4","53.6","43.6","62.8","18.8","!","!","53.4","!","!","40.0","!","!","38.6","35.8","41.0"
"Bolton","43.7","40.7","46.8","48.6","45.5","52.4","40.6","!","!","62.1","!","!","43.3","!","!","42.5","39.4","45.6"
"Bury","46.0","43.6","48.4","46.9","48.0","45.8","35.8","34.0","41.0","57.7","54.2","60.7","46.2","44.2","47.8","46.0","43.2","48.9"
"Cheshire East","48.9","46.6","51.3","53.9","54.8","52.9","47.7","46.6","48.8","67.8","62.5","71.6","48.9","47.7","50.2","48.8","46.4","51.2"
"Cheshire West and Chester","46.5","44.2","49.1","43.9","43.0","44.5","48.4","49.3","46.3","60.7","62.8","58.6","50.5","44.2","55.4","46.4","44.1","49.0"
"Cumbria","46.3","43.6","49.0","52.2","51.9","52.4","49.3","37.8","54.2","63.6","55.9","69.1","53.7","51.1","56.3","46.3","43.7","48.8"
