"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All state-funded mainstream schools","47.1","44.8","49.5","50.5","48.1","52.9","45.6","42.5","48.6","63.2","61.3","65.2","47.9","45.4","50.3","46.8","44.5","49.1"
"Non-selective schools in highly selective areas","42.1","39.8","44.3","46.1","43.4","49.0","45.2","41.9","48.5","55.6","52.3","60.1","43.7","40.7","46.8","41.5","39.4","43.7"
"Non-selective schools in other areas (inc. low selective areas)","46.5","44.1","48.9","48.8","46.3","51.4","44.8","41.8","47.8","60.2","58.1","62.3","46.8","44.3","49.2","46.3","44.0","48.6"
"Selective schools","69.3","67.8","70.9","72.9","71.9","74.0","70.5","68.3","72.3","76.8","75.1","78.8","71.4","69.7","73.1","68.0","66.3","69.7"
