"Ethnicity","Local authority","All","Boys","Girls"
"All","County Durham","44.6","42.2","47.2"
"All","Darlington","45.3","43.0","47.4"
"All","Gateshead","46.8","44.0","49.7"
"All","Hartlepool","44.0","40.8","47.4"
"All","Middlesbrough","43.2","40.4","46.4"
"All","Newcastle upon Tyne","43.3","41.5","45.3"
"All","North Tyneside","47.0","43.9","50.3"
"All","Northumberland","44.7","41.8","47.7"
"All","Redcar and Cleveland","44.0","40.6","47.3"
"All","South Tyneside","43.0","40.5","45.7"
"All","Stockton-on-Tees","45.6","43.0","48.1"
"All","Sunderland","43.8","41.8","46.0"
"All","Blackburn with Darwen","46.4","44.3","48.5"
"All","Blackpool","38.8","35.9","41.4"
"All","Bolton","43.7","40.7","46.8"
"All","Bury","46.0","43.6","48.4"
"All","Cheshire East","48.9","46.6","51.3"
"All","Cheshire West and Chester","46.5","44.2","49.1"
"All","Cumbria","46.3","43.6","49.0"
"All","Halton","44.9","41.6","48.0"
"All","Knowsley","37.6","35.6","39.8"
"All","Lancashire","45.7","42.9","48.6"
"All","Liverpool","44.2","41.7","46.6"
"All","Manchester","43.4","40.1","46.7"
"All","Oldham","43.6","40.8","46.5"
"All","Rochdale","42.5","40.2","45.1"
"All","Salford","41.7","38.0","45.3"
"All","Sefton","44.9","43.0","46.8"
"All","St. Helens","43.8","41.7","45.8"
"All","Stockport","48.2","46.0","50.5"
"All","Tameside","44.8","42.7","46.9"
"All","Trafford","55.6","52.9","58.3"
"All","Warrington","47.0","44.3","49.9"
"All","Wigan","46.2","43.3","49.2"
"All","Wirral","48.1","45.5","50.8"
"All","Barnsley","44.0","41.7","46.4"
"All","Bradford","42.4","39.8","44.9"
"All","Calderdale","48.2","46.2","50.4"
"All","Doncaster","43.6","41.6","45.7"
"All","East Riding of Yorkshire","47.2","45.0","49.4"
"All","Kingston upon Hull, City of","42.6","40.4","45.1"
"All","Kirklees","45.3","42.5","48.3"
"All","Leeds","45.1","43.1","47.2"
"All","North East Lincolnshire","43.8","42.0","45.7"
"All","North Lincolnshire","44.8","41.8","47.8"
"All","North Yorkshire","49.6","46.7","52.6"
"All","Rotherham","45.0","42.6","47.4"
"All","Sheffield","44.6","42.6","46.8"
"All","Wakefield","45.5","43.3","47.6"
"All","York","49.3","46.4","52.4"
"All","Derby","42.6","40.2","45.3"
"All","Derbyshire","45.6","43.1","48.2"
"All","Leicester","42.8","40.0","46.0"
"All","Leicestershire","45.7","43.2","48.3"
"All","Lincolnshire","46.4","44.0","48.8"
"All","Northamptonshire","44.7","42.7","46.8"
"All","Nottingham","40.3","37.8","42.8"
"All","Nottinghamshire","47.8","45.2","50.5"
"All","Rutland","52.2","51.5","52.9"
"All","Birmingham","46.1","43.4","48.7"
"All","Coventry","42.8","39.7","45.9"
"All","Dudley","43.7","41.8","45.9"
"All","Herefordshire, County of","45.7","43.1","48.2"
"All","Sandwell","42.4","40.5","44.3"
"All","Shropshire","46.4","43.8","49.1"
"All","Solihull","47.1","44.6","49.6"
"All","Staffordshire","44.9","41.9","47.9"
"All","Stoke-on-Trent","43.3","39.6","46.8"
"All","Telford and Wrekin","46.4","44.5","48.6"
"All","Walsall","43.2","41.0","45.3"
"All","Warwickshire","49.0","46.5","51.5"
"All","Wolverhampton","45.0","39.9","49.8"
"All","Worcestershire","46.4","43.8","49.1"
"All","Bedford","45.9","42.9","48.9"
"All","Cambridgeshire","47.7","44.9","50.6"
"All","Central Bedfordshire","45.5","42.5","48.9"
"All","Essex","46.7","43.9","49.4"
"All","Hertfordshire","49.7","46.7","52.8"
"All","Luton","43.5","41.1","45.9"
"All","Norfolk","45.0","42.5","47.5"
"All","Peterborough","42.1","39.9","44.5"
"All","Southend-on-Sea","50.4","48.7","52.2"
"All","Suffolk","44.7","42.2","47.2"
"All","Thurrock","44.4","41.9","46.9"
"All","Camden","48.3","44.3","51.2"
"All","City of London","N/A","N/A","N/A"
"All","Hackney","49.4","46.2","52.1"
"All","Hammersmith and Fulham","50.9","47.2","54.8"
"All","Haringey","46.5","44.6","48.6"
"All","Islington","45.6","43.8","47.5"
"All","Kensington and Chelsea","55.0","55.5","54.2"
"All","Lambeth","44.3","40.9","48.0"
"All","Lewisham","44.2","41.5","47.2"
"All","Newham","48.4","46.1","50.7"
"All","Southwark","50.5","49.0","51.8"
"All","Tower Hamlets","47.2","44.1","50.3"
"All","Wandsworth","49.5","48.2","51.1"
"All","Westminster","52.6","47.7","57.0"
"All","Barking and Dagenham","46.7","43.5","50.1"
"All","Barnet","54.7","52.3","57.2"
"All","Bexley","49.0","46.5","51.5"
"All","Brent","49.0","46.8","51.1"
"All","Bromley","49.8","46.9","52.5"
"All","Croydon","45.0","41.3","48.5"
"All","Ealing","48.7","46.1","51.5"
"All","Enfield","46.2","44.1","48.6"
"All","Greenwich","45.9","43.3","48.8"
"All","Harrow","49.7","46.8","52.6"
"All","Havering","47.5","45.6","49.5"
"All","Hillingdon","47.1","44.2","50.4"
"All","Hounslow","48.0","45.6","50.7"
"All","Kingston upon Thames","55.5","53.3","57.6"
"All","Merton","50.2","47.5","53.0"
"All","Redbridge","51.2","48.2","54.4"
"All","Richmond upon Thames","52.7","49.3","56.2"
"All","Sutton","56.2","54.6","57.8"
"All","Waltham Forest","45.5","43.0","47.9"
"All","Bracknell Forest","46.3","44.2","48.5"
"All","Brighton and Hove","46.8","43.9","50.0"
"All","Buckinghamshire","52.9","50.0","56.1"
"All","East Sussex","45.3","42.7","48.1"
"All","Hampshire","47.0","44.2","50.0"
"All","Isle of Wight","40.1","37.7","43.0"
"All","Kent","46.3","43.7","49.0"
"All","Medway","45.7","44.0","47.4"
"All","Milton Keynes","44.9","42.6","47.5"
"All","Oxfordshire","47.6","44.8","50.4"
"All","Portsmouth","42.3","39.2","45.9"
"All","Reading","49.6","47.8","51.5"
"All","Slough","52.2","49.0","55.4"
"All","Southampton","44.2","41.5","46.8"
"All","Surrey","50.0","47.4","52.7"
"All","West Berkshire","47.4","44.5","50.5"
"All","West Sussex","46.8","43.9","49.9"
"All","Windsor and Maidenhead","49.4","47.1","51.5"
"All","Wokingham","51.7","48.8","54.8"
"All","Bath and North East Somerset","47.5","43.3","51.8"
"All","Bournemouth","48.0","45.7","50.5"
"All","Bristol, City of","44.0","40.7","47.4"
"All","Cornwall","45.7","43.3","48.3"
"All","Devon","46.5","43.8","49.4"
"All","Dorset","45.2","42.5","48.0"
"All","Gloucestershire","48.4","45.8","51.2"
"All","Isles of Scilly","45.0","37.7","51.5"
"All","North Somerset","46.0","43.3","48.7"
"All","Plymouth","44.5","42.0","47.0"
"All","Poole","51.5","48.7","54.5"
"All","Somerset","45.7","43.0","48.5"
"All","South Gloucestershire","43.7","41.1","46.6"
"All","Swindon","42.9","39.8","46.1"
"All","Torbay","49.3","47.0","51.8"
"All","Wiltshire","46.6","44.0","49.4"
"All","All - England","46.4","43.8","49.1"
"Asian","County Durham","51.1","42.6","55.2"
"Asian","Darlington","!","!","!"
"Asian","Gateshead","52.1","52.2","52.0"
"Asian","Hartlepool","!","!","!"
"Asian","Middlesbrough","52.7","49.4","56.0"
"Asian","Newcastle upon Tyne","49.1","46.8","51.9"
"Asian","North Tyneside","49.6","44.2","53.5"
"Asian","Northumberland","46.8","45.1","48.4"
"Asian","Redcar and Cleveland","52.3","!","!"
"Asian","South Tyneside","48.2","52.9","45.4"
"Asian","Stockton-on-Tees","48.0","45.4","49.8"
"Asian","Sunderland","50.0","49.1","50.8"
"Asian","Blackburn with Darwen","50.3","47.2","53.7"
"Asian","Blackpool","53.6","43.6","62.8"
"Asian","Bolton","48.6","45.5","52.4"
"Asian","Bury","46.9","48.0","45.8"
"Asian","Cheshire East","53.9","54.8","52.9"
"Asian","Cheshire West and Chester","43.9","43.0","44.5"
"Asian","Cumbria","52.2","51.9","52.4"
"Asian","Halton","59.8","!","!"
"Asian","Knowsley","38.4","!","!"
"Asian","Lancashire","46.8","44.9","48.8"
"Asian","Liverpool","53.9","56.3","51.5"
"Asian","Manchester","48.4","45.2","51.5"
"Asian","Oldham","44.3","40.8","48.2"
"Asian","Rochdale","44.0","!","!"
"Asian","Salford","!","!","!"
"Asian","Sefton","54.2","51.3","57.0"
"Asian","St. Helens","!","!","!"
"Asian","Stockport","51.1","50.3","52.1"
"Asian","Tameside","48.9","46.9","50.9"
"Asian","Trafford","60.4","57.1","64.4"
"Asian","Warrington","55.6","49.9","60.8"
"Asian","Wigan","48.8","48.6","49.4"
"Asian","Wirral","61.1","59.7","61.9"
"Asian","Barnsley","!","!","!"
"Asian","Bradford","43.0","40.3","45.8"
"Asian","Calderdale","49.1","45.8","53.2"
"Asian","Doncaster","51.0","48.9","53.2"
"Asian","East Riding of Yorkshire","!","!","!"
"Asian","Kingston upon Hull, City of","56.0","!","!"
"Asian","Kirklees","45.0","41.9","48.2"
"Asian","Leeds","43.9","41.8","46.3"
"Asian","North East Lincolnshire","!","38.4","!"
"Asian","North Lincolnshire","48.9","42.1","55.3"
"Asian","North Yorkshire","58.5","57.1","60.1"
"Asian","Rotherham","44.7","43.9","45.4"
"Asian","Sheffield","46.9","45.4","48.4"
"Asian","Wakefield","49.3","48.5","50.1"
"Asian","York","57.0","56.5","58.1"
"Asian","Derby","46.6","44.9","48.8"
"Asian","Derbyshire","44.0","!","!"
"Asian","Leicester","47.3","44.6","50.4"
"Asian","Leicestershire","54.9","51.5","58.5"
"Asian","Lincolnshire","61.4","60.0","62.6"
"Asian","Northamptonshire","50.5","50.8","50.0"
"Asian","Nottingham","46.4","45.5","47.1"
"Asian","Nottinghamshire","55.7","51.9","59.5"
"Asian","Rutland","62.1","!","!"
"Asian","Birmingham","47.2","!","!"
"Asian","Coventry","48.6","45.2","51.9"
"Asian","Dudley","43.2","41.3","45.2"
"Asian","Herefordshire, County of","62.1","!","!"
"Asian","Sandwell","44.8","42.5","47.5"
"Asian","Shropshire","49.6","!","!"
"Asian","Solihull","52.6","50.0","55.0"
"Asian","Staffordshire","47.1","44.1","50.1"
"Asian","Stoke-on-Trent","44.9","41.3","48.2"
"Asian","Telford and Wrekin","48.6","!","!"
"Asian","Walsall","47.6","45.3","50.4"
"Asian","Warwickshire","56.9","55.0","59.4"
"Asian","Wolverhampton","52.1","47.4","56.3"
