"Gender","Ethnicity",""
"All","Asian","17.3"
"All","Black","17.0"
"All","Mixed other","16.7"
"All","White British","13.9"
"All","White other","14.2"
"Men","Asian","22.7"
"Men","Black","16.1"
"Men","Mixed other","10.2"
"Men","White British","13.0"
"Men","White other","16.8"
"Women","Asian","10.8"
"Women","Black","17.7"
"Women","Mixed other","21.9"
"Women","White British","14.9"
"Women","White other","11.7"
