"Ethnicity","Time","Rate of incidents per 100 young people in custody per month","Average population in custody","Average number of assaults per month"
"White","2010/11","9","1,911.4","172.8"
"White","2011/12","8","1,727.7","143.3"
"White","2012/13","10","1,381.3","131.7"
"White","2013/14","13","1,025.9","132.2"
"White","2014/15","14","866.1","124.2"
"White","2015/16","16","766.4","125.2"
"White","2016/17","18","653.7","120.3"
"Other than White","2010/11","12","971.2","116.7"
"Other than White","2011/12","12","1,039.8","123.3"
"Other than White","2012/13","11","860.8","96.0"
"Other than White","2013/14","18","628.3","111.7"
"Other than White","2014/15","20","549.8","111.9"
"Other than White","2015/16","25","524.0","129.4"
"Other than White","2016/17","24","509.0","124.0"
