"Title","Average length of custodial sentences"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-02"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Court type","Age group","Age group_type","Sex","Sex_type","Value"," Numerator "," Denominator "
"Average Custodial Sentence length (months per person)","2009","Year","White","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","15","732,085","50,117"
"Average Custodial Sentence length (months per person)","2010","Year","White","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","15","863,998","57,888"
"Average Custodial Sentence length (months per person)","2011","Year","White","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","16","971,751","62,210"
"Average Custodial Sentence length (months per person)","2012","Year","White","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","16","897,934","56,471"
"Average Custodial Sentence length (months per person)","2013","Year","White","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","933,071","55,226"
"Average Custodial Sentence length (months per person)","2014","Year","White","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","916,170","53,985"
"Average Custodial Sentence length (months per person)","2015","Year","White","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","18","912,652","51,539"
"Average Custodial Sentence length (months per person)","2016","Year","White","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","18","870,292","48,651"
"Average Custodial Sentence length (months per person)","2009","Year","Black","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","20","133,978","6,626"
"Average Custodial Sentence length (months per person)","2010","Year","Black","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","21","155,717","7,267"
"Average Custodial Sentence length (months per person)","2011","Year","Black","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","23","179,990","7,890"
