"Measure","Time","Time_type","Ethnicity_type","Ethnicity","Offence group","Sentenced to immediate custody","Value"
"ACSL","2016","Year","ONS 5+1 2001","White","Violence against the person","457","20"
"ACSL","2016","Year","ONS 5+1 2002","White","Sexual offences","310","60"
"ACSL","2016","Year","ONS 5+1 2003","White","Robbery","169","45"
"ACSL","2016","Year","ONS 5+1 2004","White","Theft Offences","396","9"
"ACSL","2016","Year","ONS 5+1 2005","White","Criminal damage and arson","209","28"
"ACSL","2016","Year","ONS 5+1 2006","White","Drug offences","284","32"
"ACSL","2016","Year","ONS 5+1 2007","White","Possession of weapons","279","12"
"ACSL","2016","Year","ONS 5+1 2008","White","Public order offences","240","6"
"ACSL","2016","Year","ONS 5+1 2009","White","Miscellaneous crimes against society","372","10"
"ACSL","2016","Year","ONS 5+1 2010","White","Fraud Offences","199","17"
"ACSL","2016","Year","ONS 5+1 2011","Black","Violence against the person","236","36"
"ACSL","2016","Year","ONS 5+1 2012","Black","Sexual offences","111","63"
"ACSL","2016","Year","ONS 5+1 2013","Black","Robbery","110","45"
"ACSL","2016","Year","ONS 5+1 2014","Black","Theft Offences","209","10"
"ACSL","2016","Year","ONS 5+1 2015","Black","Criminal damage and arson","56","22"
"ACSL","2016","Year","ONS 5+1 2016","Black","Drug offences","218","34"
"ACSL","2016","Year","ONS 5+1 2017","Black","Possession of weapons","189","18"
"ACSL","2016","Year","ONS 5+1 2018","Black","Public order offences","136","7"
"ACSL","2016","Year","ONS 5+1 2019","Black","Miscellaneous crimes against society","212","10"
"ACSL","2016","Year","ONS 5+1 2020","Black","Fraud Offences","120","16"
"ACSL","2016","Year","ONS 5+1 2021","Asian","Violence against the person","192","28"
"ACSL","2016","Year","ONS 5+1 2022","Asian","Sexual offences","101","58"
"ACSL","2016","Year","ONS 5+1 2023","Asian","Robbery","77","40"
"ACSL","2016","Year","ONS 5+1 2024","Asian","Theft Offences","161","8"
"ACSL","2016","Year","ONS 5+1 2025","Asian","Criminal damage and arson","47","26"
"ACSL","2016","Year","ONS 5+1 2026","Asian","Drug offences","155","38"
"ACSL","2016","Year","ONS 5+1 2027","Asian","Possession of weapons","108","20"
"ACSL","2016","Year","ONS 5+1 2028","Asian","Public order offences","110","7"
"ACSL","2016","Year","ONS 5+1 2029","Asian","Miscellaneous crimes against society","179","13"
"ACSL","2016","Year","ONS 5+1 2030","Asian","Fraud Offences","111","24"
"ACSL","2016","Year","ONS 5+1 2031","Mixed","Violence against the person","166","26"
"ACSL","2016","Year","ONS 5+1 2032","Mixed","Sexual offences","59","57"
"ACSL","2016","Year","ONS 5+1 2033","Mixed","Robbery","66","50"
"ACSL","2016","Year","ONS 5+1 2034","Mixed","Theft Offences","159","11"
"ACSL","2016","Year","ONS 5+1 2035","Mixed","Criminal damage and arson","25","24"
"ACSL","2016","Year","ONS 5+1 2036","Mixed","Drug offences","148","35"
"ACSL","2016","Year","ONS 5+1 2037","Mixed","Possession of weapons","97","12"
"ACSL","2016","Year","ONS 5+1 2038","Mixed","Public order offences","93","7"
"ACSL","2016","Year","ONS 5+1 2039","Mixed","Miscellaneous crimes against society","115","8"
"ACSL","2016","Year","ONS 5+1 2040","Mixed","Fraud Offences","55","13"
"ACSL","2016","Year","ONS 5+1 2041","Chinese and other","Violence against the person","83","32"
"ACSL","2016","Year","ONS 5+1 2042","Chinese and other","Sexual offences","54","58"
"ACSL","2016","Year","ONS 5+1 2043","Chinese and other","Robbery","33","47"
"ACSL","2016","Year","ONS 5+1 2044","Chinese and other","Theft Offences","102","8"
"ACSL","2016","Year","ONS 5+1 2045","Chinese and other","Criminal damage and arson","14","46"
"ACSL","2016","Year","ONS 5+1 2046","Chinese and other","Drug offences","101","29"
"ACSL","2016","Year","ONS 5+1 2047","Chinese and other","Possession of weapons","60","19"
"ACSL","2016","Year","ONS 5+1 2048","Chinese and other","Public order offences","43","7"
"ACSL","2016","Year","ONS 5+1 2049","Chinese and other","Miscellaneous crimes against society","100","11"
"ACSL","2016","Year","ONS 5+1 2050","Chinese and other","Fraud Offences","54","23"
