"","Asian","","Black","","Mixed","","White","","Chinese and other",""
"Year","Men","Women","Men","Women","Men","Women","Men","Women","Men","Women"
"2009","20","16","21","14","17","8","15","9","17","12"
"2010","20","15","22","14","18","11","15","9","17","13"
"2011","22","18","23","16","18","14","16","10","18","12"
"2012","23","15","24","16","20","14","16","10","18","12"
"2013","23","14","25","14","20","10","18","10","19","9"
"2014","25","19","25","14","21","9","18","10","19","17"
"2015","25","19","26","15","21","12","19","10","22","14"
"2016","25","14","25","14","22","10","19","10","24","12"
