"","Average (mean) monthly basic pay per FTE (£)","","Ethnicity pay gap, relative to White (%)",""
"Ethnicity","Female","Male","Female","Male"
"All","2,276","2,429","n/a","n/a"
"Asian","2,209","2,251","4","9"
"Black","2,160","2,098","6","16"
"Mixed","2,171","2,223","5","10"
"White","2,293","2,483","n/a","n/a"
"Other","2,252","2,245","2","10"
"Unknown","2,265","2,566","1","-3"
