"Title","Gender pay gap among NHS non-medical staff in each ethnic group, by broad staff group"
"Location","England"
"Time period","January 2018"
"Data source","NHS Workforce Statistics"
"Data source link","https://digital.nhs.uk/data-and-information/publications/statistical/nhs-workforce-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","24/04/2018"

"Broad staff group","Ethnicity","Female (£)","Male (£)","Gender pay gap (%)"
"Professionally qualified non-medical","All","2,709","2,759","2"
"Professionally qualified non-medical","Asian","2,540","2,634","4"
"Professionally qualified non-medical","Black","2,538","2,592","2"
"Professionally qualified non-medical","Mixed","2,575","2,672","4"
"Professionally qualified non-medical","White","2,748","2,799","2"
"Professionally qualified non-medical","Other","2,624","2,734","4"
"Professionally qualified non-medical","Unknown","2,624","2,698","3"
"Support to clinical staff","All","1,603","1,603","0"
"Support to clinical staff","Asian","1,551","1,556","0"
"Support to clinical staff","Black","1,565","1,553","-1"
"Support to clinical staff","Mixed","1,566","1,585","1"
"Support to clinical staff","White","1,610","1,615","0"
"Support to clinical staff","Other","1,548","1,561","1"
"Support to clinical staff","Unknown","1,602","1,646","3"
"Managers and senior managers","All","4,679","5,198","10"
"Managers and senior managers","Asian","4,241","4,790","11"
"Managers and senior managers","Black","4,218","4,187","-1"
"Managers and senior managers","Mixed","4,341","4,772","9"
"Managers and senior managers","White","4,698","5,218","10"
"Managers and senior managers","Other","4,415","4,579","4"
"Managers and senior managers","Unknown","5,111","5,903","13"
"Infrastructure support","All","1,908","2,064","8"
"Infrastructure support","Asian","1,912","2,025","6"
"Infrastructure support","Black","1,861","1,875","1"
"Infrastructure support","Mixed","1,950","1,984","2"
"Infrastructure support","White","1,909","2,080","8"
"Infrastructure support","Other","1,823","1,807","-1"
"Infrastructure support","Unknown","1,933","2,171","11"
