"Variable","Ethnicity","Female","Male"
"Average (mean) monthly basic pay per FTE (£)","All","2,423","3,157"
"Average (mean) monthly basic pay per FTE (£)","Asian","2,637","3,764"
"Average (mean) monthly basic pay per FTE (£)","Black","2,242","2,551"
"Average (mean) monthly basic pay per FTE (£)","Mixed","2,407","3,145"
"Average (mean) monthly basic pay per FTE (£)","White","2,407","3,034"
"Average (mean) monthly basic pay per FTE (£)","Other","2,590","3,691"
"Average (mean) monthly basic pay per FTE (£)","Unknown","2,491","3,369"
"Ethnicity pay gap, relative to White (%)","All","n/a","n/a"
"Ethnicity pay gap, relative to White (%)","Asian","-10","-24"
"Ethnicity pay gap, relative to White (%)","Black","7","16"
"Ethnicity pay gap, relative to White (%)","Mixed","0","-4"
"Ethnicity pay gap, relative to White (%)","White","n/a","n/a"
"Ethnicity pay gap, relative to White (%)","Other","-8","-22"
"Ethnicity pay gap, relative to White (%)","Unknown","-4","-11"
