"","Average (mean) monthly basic pay per FTE (£)","","Ethnicity pay gap, relative to White (%)",""
"Ethnicity","Female","Male","Female","Male"
"All","4,897","5,703","n/a","n/a"
"Asian","4,760","5,636","7","5"
"Black","4,303","5,142","16","13"
"Mixed","4,387","5,017","14","15"
"White","5,104","5,934","n/a","n/a"
"Other","4,652","5,564","9","6"
"Unknown","4,401","5,145","14","13"
