"Title","Pensioner households' income sources by ethnicity"
"Location","UK"
"Time period","2013/14 to 2015/16"
"Data source","Pensioners’ incomes series: financial year 2015/16"
"Data source link","https://www.gov.uk/government/statistics/pensioners-incomes-series-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Standard Ethnicity","Income source","%"
"All","Receiving income from benefits (including State Pension)","100"
"All","Receiving income from State Pension","97"
"All","Receiving income from income-related benefits","26"
"All","Receiving income from disability benefits","20"
"All","Receiving occupational pension income","62"
"All","Receiving personal pension income","18"
"All","Receiving investment income","64"
"All","Receiving income from earnings","17"
"All","Receiving other income","46"
"Asian","Receiving income from benefits (including State Pension)","99"
"Asian","Receiving income from State Pension","89"
"Asian","Receiving income from income-related benefits","36"
"Asian","Receiving income from disability benefits","20"
"Asian","Receiving occupational pension income","34"
"Asian","Receiving personal pension income","9"
"Asian","Receiving investment income","39"
"Asian","Receiving income from earnings","17"
"Asian","Receiving other income","41"
"Black","Receiving income from benefits (including State Pension)","100"
"Black","Receiving income from State Pension","91"
"Black","Receiving income from income-related benefits","44"
"Black","Receiving income from disability benefits","22"
"Black","Receiving occupational pension income","48"
"Black","Receiving personal pension income","8"
"Black","Receiving investment income","31"
"Black","Receiving income from earnings","16"
"Black","Receiving other income","46"
"White British","Receiving income from benefits (including State Pension)","100"
"White British","Receiving income from State Pension","98"
"White British","Receiving income from income-related benefits","25"
"White British","Receiving income from disability benefits","20"
"White British","Receiving occupational pension income","64"
"White British","Receiving personal pension income","19"
"White British","Receiving investment income","65"
"White British","Receiving income from earnings","17"
"White British","Receiving other income","46"
"White other","Receiving income from benefits (including State Pension)","100"
"White other","Receiving income from State Pension","87"
"White other","Receiving income from income-related benefits","34"
"White other","Receiving income from disability benefits","17"
"White other","Receiving occupational pension income","49"
"White other","Receiving personal pension income","14"
"White other","Receiving investment income","59"
"White other","Receiving income from earnings","19"
"White other","Receiving other income","44"
"Other","Receiving income from benefits (including State Pension)","100"
"Other","Receiving income from State Pension","88"
"Other","Receiving income from income-related benefits","34"
"Other","Receiving income from disability benefits","17"
"Other","Receiving occupational pension income","47"
"Other","Receiving personal pension income","10"
"Other","Receiving investment income","53"
"Other","Receiving income from earnings","21"
"Other","Receiving other income","37"
