"","2013/14","","2014/15","","2015/16","","2016/17",""
"Ethnicity","%","Sample size","%","Sample size","%","Sample size","%","Sample size"
"All","17","35,371","16","33,350","15","35,324","14","35,420"
"Asian","19","1,824","16","1,649","18","1,790","15","1,956"
"Bangladeshi","17","138","12","123","15","135","19","168"
"Chinese","15","169","11","136","16","173","13","182"
"Indian","20","767","14","679","18","722","15","772"
"Pakistani","20","398","22","388","23","428","16","498"
"Asian other","15","352","14","323","15","332","13","336"
"Black","17","959","18","902","19","902","17","1,026"
"Black African","16","564","19","529","19","530","17","629"
"Black Caribbean","17","350","15","316","16","311","14","318"
"Black other","?","45","28","57","31","61","22","79"
"Mixed","27","339","28","309","21","364","20","370"
"Mixed White/Asian","24","80","28","90","16","94","17","105"
"Mixed White/Black African","?","46","?","45","?","44","13","56"
"Mixed White/Black Caribbean","29","120","29","98","21","135","20","121"
"Mixed other","29","93","23","76","26","91","29","88"
"White","17","31,980","16","30,212","15","31,967","14","31,673"
"White British","17","30,073","16","28,476","15","29,993","14","29,366"
"White Irish","21","322","17","299","17","287","10","296"
"White Gypsy/Traveller","?","12","?","10","?","15","?","21"
"White other","17","1,573","19","1,427","16","1,672","14","1,990"
"Other","14","236","15","234","17","242","15","349"
"Arab","10","88","10","83","10","87","18","141"
"Any other","16","148","17","151","21","155","12","208"
