"","All","","Male ","","Female",""
"Ethnicity","%","Number","%","Number","%","Number"
"Asian","18","5,263","18","2,603","17","2,660"
"Black","18","2,763","18","1,157","18","1,606"
"Mixed","25","1,012","24","417","27","595"
"White","16","94,159","16","42,656","15","51,503"
"Other","15","712","16","371","14","341"
