"","All","Men","Women"
"Ethnicity","%","%","%"
"Asian","0.5","1.0","0.0"
"Black","2.3","3.5","1.4"
"White British","3.6","5.2","2.0"
"White other","1.7","1.9","1.6"
"Other inc Mixed","2.4","3.9","1.1"
