"Sex","Ethnicity","%"
"All","Asian","0.5"
"All","Black","2.3"
"All","White British","3.6"
"All","White other","1.7"
"All","Other inc Mixed","2.4"
"Men","Asian","1.0"
"Men","Black","3.5"
"Men","White British","5.2"
"Men","White other","1.9"
"Men","Other inc Mixed","3.9"
"Women","Asian","0.0"
"Women","Black","1.4"
"Women","White British","2.0"
"Women","White other","1.6"
"Women","Other inc Mixed","1.1"
