"","White British","","","All other ethnic groups","",""
"Socio-economic group","%","Social housing households","All households","%","Social housing households","All households"
"Higher managerial, administrative and professional occupations","5"," 373,673 "," 7,635,539 ","10"," 138,604 "," 1,400,849 "
"Intermediate occupations","12"," 480,178 "," 3,857,408 ","20"," 137,349 "," 702,682 "
"Routine and manual occupations","30"," 1,886,724 "," 6,260,530 ","32"," 425,116 "," 1,311,313 "
