"Measure","Year","Ethnicity","Ethnicity_type","Type of offence","Type of sentence","Numerator","Denominator","Value ","Value_Type","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","All","Absolute discharge","27","10513","0.3%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","All","Community sentence","1940","10513","18.5%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","All","Compensation","22","10513","0.2%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","All","Conditional discharge","720","10513","6.8%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","All","Fine","1923","10513","18.3%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","All","Immediate custody","3758","10513","35.7%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","All","Otherwise dealt with","293","10513","2.8%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","All","Suspended sentence","1830","10513","17.4%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","All","Absolute discharge","51","18142","0.3%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","All","Community sentence","3565","18142","19.7%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","All","Compensation","52","18142","0.3%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","All","Conditional discharge","1435","18142","7.9%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","All","Fine","3734","18142","20.6%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","All","Immediate custody","6001","18142","33.1%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","All","Otherwise dealt with","560","18142","3.1%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","All","Suspended sentence","2744","18142","15.1%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","All","Absolute discharge","11","5270","0.2%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","All","Community sentence","1165","5270","22.1%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","All","Compensation","27","5270","0.5%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","All","Conditional discharge","415","5270","7.9%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","All","Fine","959","5270","18.2%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","All","Immediate custody","1704","5270","32.3%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","All","Otherwise dealt with","160","5270","3.0%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","All","Suspended sentence","829","5270","15.7%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","All","Absolute discharge","7","2220","0.3%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","All","Community sentence","432","2220","19.5%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","All","Compensation","15","2220","0.7%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","All","Conditional discharge","191","2220","8.6%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","All","Fine","381","2220","17.2%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","All","Immediate custody","776","2220","35.0%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","All","Otherwise dealt with","76","2220","3.4%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","All","Suspended sentence","342","2220","15.4%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","All","Absolute discharge","540","138834","0.4%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","All","Community sentence","27640","138834","19.9%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","All","Compensation","1334","138834","1.0%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","All","Conditional discharge","13439","138834","9.7%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","All","Fine","21926","138834","15.8%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","All","Immediate custody","45505","138834","32.8%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","All","Otherwise dealt with","4484","138834","3.2%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","All","Suspended sentence","23966","138834","17.3%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","All","All","10513","174979","6%","%","","","","","","",""
