"Ethnicity","Outcome","%","Number sentenced"
"All","Immediate custody","33.0","57,744"
"All","Suspended sentence","17.0","29,711"
"All","Community sentence","19.9","34,742"
"All","Fine","16.5","28,923"
"All","Absolute discharge","0.4","636"
"All","Conditional discharge","9.3","16,200"
"All","Compensation","0.8","1,450"
"All","Otherwise dealt with","3.2","5,573"
"Asian","Immediate custody","35.7","3,758"
"Asian","Suspended sentence","17.4","1,830"
"Asian","Community sentence","18.5","1,940"
"Asian","Fine","18.3","1,923"
"Asian","Absolute discharge","0.3","27"
"Asian","Conditional discharge","6.8","720"
"Asian","Compensation","0.2","22"
"Asian","Otherwise dealt with","2.8","293"
"Black","Immediate custody","33.1","6,001"
"Black","Suspended sentence","15.1","2,744"
"Black","Community sentence","19.7","3,565"
"Black","Fine","20.6","3,734"
"Black","Absolute discharge","0.3","51"
"Black","Conditional discharge","7.9","1,435"
"Black","Compensation","0.3","52"
"Black","Otherwise dealt with","3.1","560"
"Mixed","Immediate custody","32.3","1,704"
"Mixed","Suspended sentence","15.7","829"
"Mixed","Community sentence","22.1","1,165"
"Mixed","Fine","18.2","959"
"Mixed","Absolute discharge","0.2","11"
"Mixed","Conditional discharge","7.9","415"
"Mixed","Compensation","0.5","27"
"Mixed","Otherwise dealt with","3.0","160"
"White","Immediate custody","32.8","45,505"
"White","Suspended sentence","17.3","23,966"
"White","Community sentence","19.9","27,640"
"White","Fine","15.8","21,926"
"White","Absolute discharge","0.4","540"
"White","Conditional discharge","9.7","13,439"
"White","Compensation","1.0","1,334"
"White","Otherwise dealt with","3.2","4,484"
"Other inc Chinese","Immediate custody","35.0","776"
"Other inc Chinese","Suspended sentence","15.4","342"
"Other inc Chinese","Community sentence","19.5","432"
"Other inc Chinese","Fine","17.2","381"
"Other inc Chinese","Absolute discharge","0.3","7"
"Other inc Chinese","Conditional discharge","8.6","191"
"Other inc Chinese","Compensation","0.7","15"
"Other inc Chinese","Otherwise dealt with","3.4","76"
